circuit,factory,layer count,allocator,msf coeff,routing_algo,routing_option,total code beat,circuit volume
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,0.001,Double,No_Top,8062,195978
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,0.001,Double,No_MSF,8061,176904
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,0.001,Proj,No_MSF,7128,16664
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,0.001,Proj,No_Top,7128,35736
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,0.001,Single,No_MSF,8662,190438
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,0.001,Single,No_Top,8664,209514
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,0.01,Double,No_MSF,8061,176904
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,0.001,Double,Yes_Kink,8062,353059
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,0.01,Double,No_Top,8062,195978
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,0.01,Proj,No_MSF,7128,16664
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,0.001,Double,No_Kink,8062,355017
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,0.01,Double,No_Kink,8062,318941
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,0.001,Single,No_Kink,8664,352366
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,0.01,Proj,No_Top,7128,35736
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,0.01,Single,No_MSF,8662,190438
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,0.01,Double,Yes_Kink,8062,316373
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,0.01,Single,No_Top,8664,209514
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,0.1,Double,No_MSF,8061,176904
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,0.1,Double,No_Top,8062,195978
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,0.01,Single,No_Kink,8664,315412
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,0.1,Proj,No_MSF,7128,16664
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,0.1,Double,No_Kink,8063,322466
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,0.1,Proj,No_Top,7128,35736
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,0.1,Double,Yes_Kink,8063,326664
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,0.1,Single,No_MSF,8662,190438
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,0.1,Single,No_Top,8664,209514
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,0.1,Single,No_Kink,8664,318466
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,1,Double,No_MSF,8061,176904
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,1,Double,No_Top,8062,195978
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,1,Double,No_Kink,8062,282382
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,1,Double,Yes_Kink,8062,283881
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,1,Proj,No_MSF,7128,16664
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,1,Proj,No_Top,7128,35736
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,0.001,Proj,Yes_Kink,7132,3126083
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,1,Single,No_Kink,8664,277224
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,1,Single,No_MSF,8662,190438
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,1,Single,No_Top,8664,209514
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,0.01,Proj,Yes_Kink,7133,3158587
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,random,0,Double,No_Kink,8062,354719
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,0.001,Proj,No_Kink,7132,3204558
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,random,0,Double,No_MSF,8061,176904
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,0.01,Proj,No_Kink,7132,3253015
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,random,0,Double,No_Top,8062,195978
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,random,0,Proj,No_Top,7128,35736
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,random,0,Proj,No_MSF,7128,16664
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,0.1,Proj,Yes_Kink,7133,3181826
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,random,0,Single,No_MSF,8662,190438
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,random,0,Double,Yes_Kink,8062,353569
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,random,0,Single,No_Kink,8664,355946
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,random,0,Single,No_Top,8664,209514
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,0.001,Double,No_MSF,8061,176904
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,0.001,Double,No_Kink,8062,315824
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,0.001,Double,No_Top,8062,195978
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,0.001,Proj,No_MSF,7128,16664
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,0.1,Proj,No_Kink,7136,3205714
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,1,Proj,Yes_Kink,7133,3116393
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,SA,1,Proj,No_Kink,7133,3104593
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,0.001,Double,Yes_Kink,8358,320910
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,0.001,Proj,No_Top,7128,35736
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,0.001,Single,No_Top,8664,209514
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,0.001,Single,No_MSF,8662,190438
