circuit,factory,layer_count,allocator,msf_coeff,msf_prep_time,routing_algo,routing_option,total_code_beat,circuit_volume
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,inner,1,random,0.0,0,Single,No_MSF,4079,591856
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,inner,1,random,0.0,0,Single,No_Top,4079,587376
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,inner,1,random,0.0,0,Single,No_Kink,4086,721030
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,inner,1,random,0.0,0,Double,No_MSF,3792,550528
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,inner,1,random,0.0,0,Double,No_Top,3792,546048
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,inner,1,random,0.0,0,Double,No_Kink,3795,688443
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,inner,1,random,0.0,0,Double,Yes_Kink,3796,688802
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,inner,1,random,0.0,0,Proj,No_MSF,3333,484432
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,inner,1,random,0.0,0,Proj,No_Top,3333,479952
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,inner,1,random,0.0,0,Proj,No_Kink,3341,1680639
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,inner,1,random,0.0,0,Proj,Yes_Kink,3341,1648852
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,inner,1,naive,0.0,0,Single,No_MSF,4079,591856
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,inner,1,naive,0.0,0,Single,No_Top,4079,587376
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,inner,1,naive,0.0,0,Single,No_Kink,4081,706764
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,inner,1,naive,0.0,0,Double,No_MSF,3792,550528
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,inner,1,naive,0.0,0,Double,No_Top,3792,546048
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,inner,1,naive,0.0,0,Double,No_Kink,3795,673195
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,inner,1,naive,0.0,0,Double,Yes_Kink,3801,672574
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,inner,1,naive,0.0,0,Proj,No_MSF,3333,484432
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,inner,1,naive,0.0,0,Proj,No_Top,3333,479952
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,inner,1,naive,0.0,0,Proj,No_Kink,3355,1736874
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,inner,1,naive,0.0,0,Proj,Yes_Kink,3361,1708178
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_2,outer,1,SA,0.1,2,Single,No_MSF,2072,403168
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_2,outer,1,SA,0.1,2,Single,No_Top,2072,398624
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_2,outer,1,SA,0.1,2,Single,No_Kink,2081,478402
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_2,outer,1,SA,0.1,2,Double,No_MSF,1921,374780
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_2,outer,1,SA,0.1,2,Double,No_Top,1921,370236
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_2,outer,1,SA,0.1,2,Double,No_Kink,1924,460382
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_2,outer,1,SA,0.1,2,Double,Yes_Kink,1928,460693
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_2,outer,1,SA,0.1,2,Proj,No_MSF,1668,327216
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_2,outer,1,SA,0.1,2,Proj,No_Top,1668,322672
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_2,outer,1,SA,0.1,2,Proj,No_Kink,1679,1181972
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_2,outer,1,SA,0.1,2,Proj,Yes_Kink,1685,1147829
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,random,0.0,0,Single,No_MSF,8099,992534
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,random,0.0,0,Single,No_Top,8099,988078
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,random,0.0,0,Single,No_Kink,8107,1175012
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,random,0.0,0,Double,No_MSF,7536,923848
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,random,0.0,0,Double,No_Top,7536,919392
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,random,0.0,0,Double,No_Kink,7536,1111948
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,random,0.0,0,Double,Yes_Kink,7536,1115257
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,random,0.0,0,Proj,No_MSF,6660,816976
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,random,0.0,0,Proj,No_Top,6660,812520
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,random,0.0,0,Proj,No_Kink,6660,3242419
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,random,0.0,0,Proj,Yes_Kink,6661,3170146
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,outer,2,SA,0.001,0,Single,No_MSF,8099,992534
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,outer,2,SA,0.001,0,Single,No_Top,8099,988078
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,outer,2,SA,0.001,0,Single,No_Kink,8099,1059505
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,outer,2,SA,0.001,0,Single,Yes_Kink,8099,1071415
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,outer,2,SA,0.001,0,Double,No_MSF,7536,923848
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,outer,2,SA,0.001,0,Double,No_Top,7536,919392
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,outer,2,SA,0.001,0,Double,No_Kink,7536,1003511
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,outer,2,SA,0.001,0,Double,Yes_Kink,7536,999354
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,outer,2,SA,0.001,0,Proj,No_MSF,6660,816976
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,outer,2,SA,0.001,0,Proj,No_Top,6660,812520
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,outer,2,SA,0.001,0,Proj,No_Kink,6661,2576813
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,outer,2,SA,0.001,0,Proj,Yes_Kink,6660,2500372
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,outer,2,SA,0.01,0,Single,No_MSF,4079,591856
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,outer,2,SA,0.01,0,Single,No_Top,4079,587376
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,outer,2,SA,0.01,0,Single,No_Kink,4079,662869
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,outer,2,SA,0.01,0,Single,Yes_Kink,4079,673545
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,outer,2,SA,0.01,0,Double,No_MSF,3792,550528
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,outer,2,SA,0.01,0,Double,No_Top,3792,546048
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,outer,2,SA,0.01,0,Double,No_Kink,3792,634052
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,outer,2,SA,0.01,0,Double,Yes_Kink,3930,649853
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,outer,2,SA,0.01,0,Proj,No_MSF,3333,484432
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,outer,2,SA,0.01,0,Proj,No_Top,3333,479952
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,outer,2,SA,0.01,0,Proj,No_Kink,3337,1725827
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,outer,2,SA,0.01,0,Proj,Yes_Kink,3342,1671319
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_2,outer,2,SA,0.001,0,Single,No_MSF,2072,394080
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_2,outer,2,SA,0.001,0,Single,No_Top,2072,389536
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_2,outer,2,SA,0.001,0,Single,No_Kink,2073,462240
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_2,outer,2,SA,0.001,0,Single,Yes_Kink,2074,471957
