circuit,total_code_beat,circuit_volume
result_SELECT_4_FermiHubbard2D_cylinder_0_0_0,2755,119336
result_SELECT_10_Z2LatticeGauge2D_PBC_0_0_1,2718,330756
result_SELECT_4_FermiHubbard2D_cylinder_0_0_2,1737,145327
result_SELECT_4_FermiHubbard2D_cylinder_0_0_1,2145,120455
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,10453,733124
result_SELECT_100_random_local_OBC_0_0_0,16747,2039057
result_SELECT_100_random_local_OBC_0_0_1,12110,1708363
result_SELECT_100_Heisenberg1D_OBC_1_0_2,8686,1006205
result_SELECT_100_random_local_OBC_0_0_3,6803,1595313
result_SELECT_100_Heisenberg1D_OBC_1_0_0,16735,548844
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,14695,1273710
result_SELECT_100_Schwinger_OBC_0_0_0,67221,6727057
result_SELECT_100_random_local_OBC_0_0_2,8973,1568097
result_SELECT_4_FermiHubbard2D_cylinder_0_0_4,901,202162
result_SELECT_100_Schwinger_OBC_0_0_1,48253,6807604
result_SELECT_10_FermiHubbard2D_cylinder_0_0_1,21150,4767970
result_SELECT_10_Z2LatticeGauge2D_PBC_0_0_4,1354,433502
result_SELECT_10_Z2LatticeGauge2D_PBC_0_0_5,1148,602890
result_SELECT_100_Schwinger_OBC_0_0_2,37823,7370296
result_SELECT_10_FermiHubbard2D_cylinder_0_0_0,27796,5576039
result_SELECT_10_Z2LatticeGauge2D_PBC_0_0_0,3826,500705
result_SELECT_4_FermiHubbard2D_cylinder_0_0_3,1323,176501
result_SELECT_100_Heisenberg1D_OBC_1_0_1,10381,641923
result_SELECT_10_FermiHubbard2D_cylinder_0_0_2,15820,4175763
result_SELECT_4_FermiHubbard2D_cylinder_0_0_5,973,405816
result_SELECT_10_Z2LatticeGauge2D_PBC_0_0_3,1890,393186
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_2,8202,1109718
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_3,6076,1361734
result_SELECT_4_FermiHubbard2D_cylinder_0_0_6,920,653940
result_SELECT_100_Heisenberg1D_OBC_1_0_3,6177,1323221
result_SELECT_10_FermiHubbard2D_cylinder_0_0_4,8254,3598722
result_SELECT_10_FermiHubbard2D_cylinder_0_0_3,12532,4086529
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,2919,1853634
result_SELECT_10_Z2LatticeGauge2D_PBC_0_0_2,2396,361547
result_SELECT_100_Schwinger_OBC_0_0_3,25155,7346637
result_SELECT_10_FermiHubbard2D_cylinder_0_0_5,6116,3847682
result_SELECT_100_random_local_OBC_0_0_4,4377,1528696
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_4,4106,1529578
result_SELECT_100_random_local_OBC_0_0_5,3475,1869596
result_SELECT_100_Heisenberg1D_OBC_1_0_4,4668,1784486
result_SELECT_100_Schwinger_OBC_0_0_4,17032,7944991
result_SELECT_10_Z2LatticeGauge2D_PBC_0_0_6,1036,968762
result_SELECT_100_Heisenberg1D_OBC_1_0_5,3130,2110542
result_SELECT_100_random_local_OBC_0_0_6,2767,2449209
result_SELECT_100_Schwinger_OBC_0_0_5,10843,8345151
result_SELECT_10_FermiHubbard2D_cylinder_0_0_6,4992,5042926
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,2649,2925343
result_SELECT_100_Heisenberg1D_OBC_1_0_6,2740,3237558
result_SELECT_100_Schwinger_OBC_0_0_6,10344,13404841
result_trotter_10_random_local_OBC_0_0_det,785,12447
result_trotter_10_random_local_OBC_0_0_rand,776,13138
result_trotter_4_Heisenberg2D_cylinder_0.5_0.5_rand,1505,56792
result_trotter_4_FermiHubbard2D_cylinder_0_0_rand,2816,131963
result_trotter_20_Schwinger_OBC_0_0_det,1837,79151
result_trotter_4_FermiHubbard2D_cylinder_0_0_det,2504,111257
result_trotter_4_Heisenberg2D_cylinder_0.5_0.5_det,1342,52802
result_trotter_20_Schwinger_OBC_0_0_rand,1746,81641
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_rand,3339,665183
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,2672,562992
result_trotter_10_FermiHubbard2D_cylinder_0_0_det,16256,3652700
result_trotter_10_FermiHubbard2D_cylinder_0_0_rand,16703,3987550
result_trotter_20_Heisenberg2D_cylinder_0.5_0.5_rand,6467,4997972
result_trotter_20_Heisenberg2D_cylinder_0.5_0.5_det,4484,4101540
result_trotter_30_Heisenberg2D_cylinder_0.5_0.5_rand,10030,17159996
result_trotter_30_Heisenberg2D_cylinder_0.5_0.5_det,6602,13491334
