circuit,factory,layer_count,allocator,msf_coeff,msf_prep_time,routing_algo,routing_option,total_code_beat,circuit_volume
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.001,0,Double,No_MSF,290,116781
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.001,0,Proj,No_MSF,213,18556
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.001,0,Proj,No_Top,213,39932
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.001,0,Single,No_MSF,327,133783
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.001,10,Double,No_MSF,290,116781
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.001,0,Double,No_Top,290,138137
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.001,0,Single,No_Top,327,155003
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.001,10,Double,No_Top,533,297244
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.001,10,Proj,No_Top,517,39932
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.001,10,Single,No_MSF,327,133783
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.001,2,Double,No_MSF,290,116781
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.001,10,Proj,No_MSF,213,18556
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.001,10,Single,No_Top,546,300501
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.001,0,Double,No_Kink,297,270816
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.001,2,Double,No_Top,291,137869
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.001,2,Proj,No_Top,213,39932
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.001,2,Proj,No_MSF,213,18556
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.001,0,Single,No_Kink,341,279703
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.001,0,Double,Yes_Kink,302,280580
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.001,2,Single,No_MSF,327,133783
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.001,2,Single,No_Top,327,154300
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.001,2,Double,No_Kink,297,303279
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.001,4,Double,No_MSF,290,116781
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.001,4,Double,No_Top,295,141302
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.001,10,Double,Yes_Kink,532,560395
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.001,2,Double,Yes_Kink,309,317184
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.001,10,Single,No_Kink,545,538808
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.001,10,Double,No_Kink,530,563926
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.001,4,Proj,No_Top,235,39932
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.001,4,Proj,No_MSF,213,18556
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.001,2,Single,No_Kink,345,310153
