circuit,factory,layer_count,allocator,msf_coeff,msf_prep_time,routing_algo,routing_option,total_code_beat,circuit_volume
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.001,10,Double,No_MSF,290,116781
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.001,10,Proj,No_MSF,213,18556
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.001,10,Single,No_MSF,327,133783
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.01,10,Double,No_MSF,290,116781
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.001,10,Single,No_Top,546,300501
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.001,10,Proj,No_Top,517,39932
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.001,10,Double,No_Top,533,297244
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.01,10,Double,No_Top,533,297244
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.01,10,Proj,No_MSF,213,18556
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.01,10,Single,No_MSF,327,133783
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.01,10,Proj,No_Top,517,39932
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.1,10,Double,No_MSF,290,116781
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.01,10,Single,No_Top,546,300501
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.1,10,Proj,No_MSF,213,18556
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.1,10,Proj,No_Top,517,39932
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.1,10,Double,No_Top,533,297244
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.1,10,Single,No_MSF,327,133783
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.001,10,Single,No_Kink,545,538808
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.01,10,Double,No_Kink,530,559408
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.1,10,Single,No_Top,546,300501
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.001,10,Double,No_Kink,530,563926
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.001,10,Double,Yes_Kink,532,560395
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,1,10,Double,No_MSF,290,116781
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.01,10,Single,No_Kink,547,545125
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.01,10,Double,Yes_Kink,534,564682
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,1,10,Double,No_Top,533,297244
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,1,10,Proj,No_MSF,213,18556
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.1,10,Double,No_Kink,531,568650
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,1,10,Proj,No_Top,517,39932
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.1,10,Double,Yes_Kink,535,567178
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,1,10,Single,No_MSF,327,133783
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,1,10,Single,No_Top,546,300501
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.1,10,Single,No_Kink,541,532035
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,naive,0,10,Double,No_MSF,290,116781
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,naive,0,10,Double,No_Top,533,297244
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,naive,0,10,Proj,No_MSF,213,18556
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,1,10,Double,No_Kink,536,535119
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,naive,0,10,Proj,No_Top,517,39932
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,1,10,Double,Yes_Kink,538,537488
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,1,10,Single,No_Kink,550,525547
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,naive,0,10,Single,No_MSF,327,133783
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,naive,0,10,Single,No_Top,546,300501
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,random,0,10,Double,No_MSF,290,116781
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,random,0,10,Double,No_Top,533,297244
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,naive,0,10,Double,No_Kink,748,864850
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,naive,0,10,Double,Yes_Kink,761,869843
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,naive,0,10,Single,No_Kink,944,896439
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,random,0,10,Proj,No_MSF,213,18556
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,random,0,10,Proj,No_Top,517,39932
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,random,0,10,Single,No_MSF,327,133783
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,random,0,10,Single,No_Top,546,300501
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,random,0,10,Double,No_Kink,550,885602
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,random,0,10,Double,Yes_Kink,557,888201
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,0.001,10,Double,No_MSF,290,116781
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,0.001,10,Double,No_Top,533,297244
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,0.001,10,Double,No_Kink,536,493179
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,0.001,10,Proj,No_MSF,213,18556
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,0.001,10,Double,Yes_Kink,538,492016
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,0.001,10,Proj,No_Top,517,39932
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,random,0,10,Single,No_Kink,773,971028
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,0.001,10,Single,No_MSF,327,133783
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,0.001,10,Single,No_Top,546,300501
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,0.001,10,Single,No_Kink,547,477679
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,0.001,10,Single,Yes_Kink,547,490550
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,0.01,10,Double,No_Kink,534,485305
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,0.01,10,Double,No_MSF,290,116781
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,0.01,10,Double,No_Top,533,297244
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,naive,0,10,Proj,No_Kink,891,2194732
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,0.01,10,Proj,No_MSF,213,18556
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,naive,0,10,Proj,Yes_Kink,909,2250657
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,0.01,10,Proj,No_Top,517,39932
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,0.01,10,Double,Yes_Kink,537,483386
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,0.01,10,Single,No_MSF,327,133783
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,0.01,10,Single,No_Top,546,300501
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,0.01,10,Single,No_Kink,548,465719
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,0.01,10,Single,Yes_Kink,545,476707
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,0.1,10,Double,No_MSF,290,116781
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,0.1,10,Double,No_Kink,534,481356
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,0.1,10,Double,No_Top,533,297244
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,1,10,Proj,Yes_Kink,1877,3189270
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,0.1,10,Proj,No_MSF,213,18556
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,1,10,Proj,No_Kink,1909,3412170
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,0.1,10,Proj,No_Top,517,39932
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,0.1,10,Double,Yes_Kink,535,484545
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.01,10,Proj,No_Kink,2475,4265608
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,0.1,10,Single,No_MSF,327,133783
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.01,10,Proj,Yes_Kink,2442,3991647
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,0.1,10,Single,No_Top,546,300501
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,1,10,Double,No_MSF,290,116781
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,1,10,Double,No_Top,533,297244
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,0.1,10,Single,No_Kink,546,472435
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,0.1,10,Single,Yes_Kink,546,480282
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,1,10,Double,No_Kink,534,473635
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,1,10,Proj,No_MSF,213,18556
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,1,10,Proj,No_Top,517,39932
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,1,10,Double,Yes_Kink,536,475602
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,1,10,Single,No_MSF,327,133783
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,1,10,Single,No_Top,546,300501
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.001,10,Proj,Yes_Kink,3245,5089465
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,1,10,Single,No_Kink,546,454110
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,naive,0,10,Double,No_MSF,290,116781
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,naive,0,10,Double,No_Top,533,297244
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.1,10,Proj,Yes_Kink,3960,5278759
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,1,10,Single,Yes_Kink,547,469159
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,naive,0,10,Proj,No_MSF,213,18556
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.001,10,Proj,No_Kink,3289,5407158
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,random,0,10,Proj,No_Kink,1804,4397990
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,naive,0,10,Proj,No_Top,517,39932
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,random,0,10,Proj,Yes_Kink,1759,4140872
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,naive,0,10,Single,No_MSF,327,133783
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,naive,0,10,Single,No_Top,546,300501
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,naive,0,10,Double,No_Kink,584,685958
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,random,0,10,Double,No_MSF,290,116781
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,random,0,10,Double,No_Top,533,297244
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,naive,0,10,Single,No_Kink,662,686842
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,naive,0,10,Double,Yes_Kink,588,692589
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,random,0,10,Proj,No_MSF,213,18556
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,naive,0,10,Single,Yes_Kink,651,703262
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,random,0,10,Double,No_Kink,534,682165
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,random,0,10,Proj,No_Top,517,39932
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,random,0,10,Single,No_MSF,327,133783
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,1,SA,0.1,10,Proj,No_Kink,4224,5791710
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,random,0,10,Single,No_Top,546,300501
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,0.01,10,Proj,Yes_Kink,2211,3581729
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,random,0,10,Double,Yes_Kink,536,690067
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,outer,1,SA,0.001,10,Double,No_MSF,290,116781
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,0.001,10,Proj,Yes_Kink,2860,4542844
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,outer,1,SA,0.001,10,Double,No_Top,533,297244
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,outer,1,SA,0.001,10,Proj,No_MSF,213,18556
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,outer,1,SA,0.001,10,Proj,No_Top,517,39932
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,random,0,10,Single,No_Kink,546,674537
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,0.01,10,Proj,No_Kink,2200,3839465
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,outer,1,SA,0.001,10,Single,No_MSF,327,133783
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,0.001,10,Proj,No_Kink,2959,5052240
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,outer,1,SA,0.001,10,Double,No_Kink,531,580389
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,outer,1,SA,0.001,10,Single,No_Top,546,300501
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,outer,1,SA,0.001,10,Double,Yes_Kink,533,581958
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,outer,1,SA,0.01,10,Double,No_MSF,290,116781
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,outer,1,SA,0.01,10,Double,No_Top,533,297244
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,random,0,10,Single,Yes_Kink,549,682464
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,outer,1,SA,0.01,10,Proj,No_MSF,213,18556
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,outer,1,SA,0.001,10,Single,No_Kink,542,545075
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,outer,1,SA,0.01,10,Proj,No_Top,517,39932
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,outer,1,SA,0.01,10,Single,No_MSF,327,133783
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,outer,1,SA,0.01,10,Double,No_Kink,533,578599
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,outer,1,SA,0.01,10,Single,No_Top,546,300501
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,outer,1,SA,0.01,10,Double,Yes_Kink,531,573752
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,outer,1,SA,0.1,10,Double,No_MSF,290,116781
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,outer,1,SA,0.1,10,Double,No_Top,533,297244
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,outer,1,SA,0.01,10,Single,No_Kink,544,534512
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,outer,1,SA,0.1,10,Proj,No_MSF,213,18556
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,outer,1,SA,0.1,10,Proj,No_Top,517,39932
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,1,10,Proj,Yes_Kink,2057,3306084
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,outer,1,SA,0.1,10,Double,No_Kink,533,554817
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,outer,1,SA,0.001,10,Proj,No_Kink,528,1245129
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,outer,1,SA,0.1,10,Single,No_MSF,327,133783
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,outer,1,SA,0.1,10,Single,No_Top,546,300501
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,outer,1,SA,0.1,10,Double,Yes_Kink,532,560509
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,0.1,10,Proj,No_Kink,2255,4038282
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,inner,2,SA,0.1,10,Proj,Yes_Kink,2255,3741172
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,outer,1,SA,0.001,10,Proj,Yes_Kink,528,1216746
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,outer,1,SA,1,10,Double,No_MSF,290,116781
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5,outer,1,SA,1,10,Double,No_Top,533,297244
