circuit,factory,layer_count,allocator,msf_coeff,msf_prep_time,routing_algo,routing_option,total_code_beat,circuit_volume
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.001,1,Double,No_MSF,7536,589658
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.001,0,Proj,No_MSF,6660,15572
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.001,0,Proj,No_Top,6660,33396
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.001,0,Double,No_MSF,7536,589658
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.001,0,Single,No_Top,8099,651664
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.001,1,Double,No_Top,7536,607482
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.001,0,Single,No_MSF,8099,633840
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.001,0,Double,No_Top,7536,607482
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.001,1,Proj,No_MSF,6660,15572
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.001,1,Single,No_MSF,8099,633840
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.001,1,Proj,No_Top,6660,33396
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.001,2,Double,No_MSF,7536,589658
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.001,1,Single,No_Top,8100,651666
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.001,0,Double,Yes_Kink,7536,708172
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.001,0,Single,No_Kink,8099,742820
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.001,2,Double,No_Top,7537,607484
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.001,2,Proj,No_MSF,6660,15572
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.001,1,Double,Yes_Kink,7536,710227
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.001,0,Double,No_Kink,7536,710234
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.001,1,Double,No_Kink,7536,710816
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.001,2,Proj,No_Top,6660,33396
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.001,1,Single,No_Kink,8100,743914
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.001,2,Double,No_Kink,7537,714654
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.001,2,Single,No_Top,8101,651668
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.001,2,Single,No_MSF,8099,633840
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.01,0,Double,No_Top,7536,607482
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.01,0,Double,No_MSF,7536,589658
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.001,2,Double,Yes_Kink,7537,711616
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.01,0,Proj,No_MSF,6660,15572
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.01,0,Proj,No_Top,6660,33396
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.001,2,Single,No_Kink,8101,747074
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.01,0,Double,No_Kink,7536,677021
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.01,0,Single,No_MSF,8099,633840
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.01,0,Single,No_Top,8099,651664
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.01,1,Double,No_MSF,7536,589658
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.01,0,Double,Yes_Kink,7537,684026
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.01,1,Double,No_Top,7536,607482
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.01,0,Single,No_Kink,8099,701279
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.01,1,Proj,No_MSF,6660,15572
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.01,1,Proj,No_Top,6660,33396
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.01,1,Single,No_MSF,8099,633840
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.01,1,Double,No_Kink,7536,686693
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.01,1,Single,No_Top,8100,651666
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.01,1,Double,Yes_Kink,7537,686485
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.01,1,Single,No_Kink,8100,705751
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.01,2,Double,No_MSF,7536,589658
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.01,2,Double,No_Top,7537,607484
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.01,2,Proj,No_MSF,6660,15572
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.01,2,Proj,No_Top,6660,33396
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.01,2,Double,No_Kink,7537,694652
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.01,2,Single,No_MSF,8099,633840
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.01,2,Double,Yes_Kink,7537,697464
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.01,2,Single,No_Top,8101,651668
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.1,0,Double,No_MSF,7536,589658
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.1,0,Double,No_Top,7536,607482
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0,inner,1,SA,0.01,2,Single,No_Kink,8101,721501
