circuit,factory,layer_count,allocator,msf_coeff,msf_prep_time,routing_algo,routing_option,total_code_beat,circuit_volume
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,outer,2,naive,0.0,2,Single,No_MSF,4079,600816
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,outer,2,naive,0.0,2,Single,No_Top,4080,596480
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,outer,2,naive,0.0,2,Single,No_MP,4079,650057
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,outer,2,naive,0.0,2,Single,No_Kink,4080,674589
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,outer,2,naive,0.0,2,Single,Yes_Kink,4080,697389
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,outer,2,naive,0.0,2,Double,No_MSF,3792,559488
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,outer,2,naive,0.0,2,Double,No_Top,3793,555152
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,outer,2,naive,0.0,2,Double,No_MP,3792,616951
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,outer,2,naive,0.0,2,Double,No_Kink,3793,645476
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,outer,2,naive,0.0,2,Double,Yes_Kink,3794,643665
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,outer,2,naive,0.0,2,Proj.,No_MSF,3333,493392
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,outer,2,naive,0.0,2,Proj.,No_Top,3333,488912
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,outer,2,naive,0.0,2,Proj.,No_MP,3337,1622980
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,outer,2,naive,0.0,2,Proj.,No_Kink,3345,1797182
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,outer,2,naive,0.0,2,Proj.,Yes_Kink,3350,1783398
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,naive,0.0,1,Single,No_MSF,756,126600
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,naive,0.0,1,Single,No_Top,1173,142800
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,naive,0.0,1,Single,No_MP,758,144750
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,naive,0.0,1,Single,No_Kink,1228,372190
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,naive,0.0,1,Single,Yes_Kink,1247,375890
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,naive,0.0,1,Double,No_MSF,749,125900
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,naive,0.0,1,Double,No_Top,1160,141500
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,naive,0.0,1,Double,No_MP,749,145334
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,naive,0.0,1,Double,No_Kink,1190,408427
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,naive,0.0,1,Double,Yes_Kink,1208,409595
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,naive,0.0,1,Proj.,No_MSF,390,90000
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,naive,0.0,1,Proj.,No_Top,1160,141500
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,naive,0.0,1,Proj.,No_MP,553,284713
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,naive,0.0,1,Proj.,No_Kink,1408,825524
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,outer,2,naive,0.0,1,Proj.,Yes_Kink,1432,837507
