                                                    | Ignore Top. | 2D Ignore Kink | 2D Ignore Kink (Rnd.) | 2.5D Ignore Kink | 2.5D Ignore Kink (Rnd.) | 2.5D Care Kink | 2.5D Care Kink (Rnd.)
  result_SELECT_10_FermiHubbard2D_cylinder_0_0_0.in |       12286 |          12286 |                 12286 |            12286 |                   12286 |          12286 |                 12286
  result_SELECT_10_FermiHubbard2D_cylinder_0_0_1.in |        7653 |           7668 |                  7654 |             7653 |                    7653 |           7670 |                  7653
  result_SELECT_10_FermiHubbard2D_cylinder_0_0_2.in |        4324 |           4341 |                  4326 |             4324 |                    4324 |           4325 |                  4324
  result_SELECT_10_FermiHubbard2D_cylinder_0_0_3.in |        2331 |           2735 |                  2391 |             2340 |                    2331 |           2364 |                  2331
  result_SELECT_10_FermiHubbard2D_cylinder_0_0_4.in |        1373 |           1917 |                  1462 |             1416 |                    1375 |           1479 |                  1378
         result_SELECT_10_Heisenberg1D_OBC_1_0_0.in |         500 |            500 |                   500 |              500 |                     500 |            500 |                   500
         result_SELECT_10_Heisenberg1D_OBC_1_0_1.in |         259 |            266 |                   263 |              259 |                     259 |            259 |                   260
         result_SELECT_10_Heisenberg1D_OBC_1_0_2.in |         141 |            169 |                   154 |              143 |                     141 |            149 |                   143
         result_SELECT_10_Heisenberg1D_OBC_1_0_3.in |          85 |            146 |                   112 |              105 |                      89 |            114 |                    93
         result_SELECT_10_Heisenberg1D_OBC_1_0_4.in |          60 |             95 |                   117 |               85 |                      78 |             90 |                    83
         result_SELECT_10_Heisenberg1D_OBC_1_0_5.in |          60 |            152 |                   134 |               80 |                      79 |             90 |                    80
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0.in |        5022 |           5022 |                  5022 |             5022 |                    5022 |           5022 |                  5022
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1.in |        2527 |           2573 |                  2530 |             2527 |                    2527 |           2540 |                  2527
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_2.in |        1283 |           1590 |                  1353 |             1285 |                    1284 |           1357 |                  1287
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_3.in |         662 |           1304 |                   895 |              757 |                     666 |            811 |                   676
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_4.in |         354 |            775 |                   691 |              659 |                     375 |            628 |                   396
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5.in |         206 |            535 |                   608 |              392 |                     274 |            392 |                   289
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6.in |         137 |            639 |                   564 |              377 |                     248 |            355 |                   255
  result_SELECT_10_Heisenberg2D_cylinder_1_0.5_0.in |       20012 |          20012 |                 20012 |            20012 |                   20012 |          20012 |                 20012
  result_SELECT_10_Heisenberg2D_cylinder_1_0.5_1.in |       10024 |          10041 |                 10031 |            10024 |                   10024 |          10024 |                 10024
  result_SELECT_10_Heisenberg2D_cylinder_1_0.5_2.in |        5033 |           6738 |                  5157 |             5042 |                    5033 |           5428 |                  5037
  result_SELECT_10_Heisenberg2D_cylinder_1_0.5_3.in |        2539 |           5064 |                  3023 |             3076 |                    2544 |           3302 |                  2560
  result_SELECT_10_Heisenberg2D_cylinder_1_0.5_4.in |        1296 |           3597 |                  2336 |             2491 |                    1340 |           2406 |                  1373
  result_SELECT_10_Heisenberg2D_cylinder_1_0.5_5.in |         678 |           1188 |                  1941 |             1477 |                     851 |           1456 |                   902
  result_SELECT_10_Heisenberg2D_cylinder_1_0.5_6.in |         374 |           2624 |                  1768 |              868 |                     679 |            851 |                   698
