                                                   | Single No Top (2D RND) | Single No Kink (2D RND) | Proj No Top (2D RND) | Proj No Kink (2D RND) | Double No Top (2D RND) | Double No Kink (2D RND) | Double Yes Kink (2D RND) | Double Yes Kink w/ skip (2D RND) | Single No Top (2D SA) | Single No Kink (2D SA) | Proj No Top (2D SA) | Proj No Kink (2D SA) | Double No Top (2D SA) | Double No Kink (2D SA) | Double Yes Kink (2D SA) | Double Yes Kink w/ skip (2D SA) | Single No Top (2.5D RND) | Single No Kink (2.5D RND) | Proj No Top (2.5D RND) | Proj No Kink (2.5D RND) | Double No Top (2.5D RND) | Double No Kink (2.5D RND) | Double Yes Kink (2.5D RND) | Double Yes Kink w/ skip (2.5D RND) | Single No Top (2.5D SA) | Single No Kink (2.5D SA) | Proj No Top (2.5D SA) | Proj No Kink (2.5D SA) | Double No Top (2.5D SA) | Double No Kink (2.5D SA) | Double Yes Kink (2.5D SA) | Double Yes Kink w/ skip (2.5D SA)
             result_SELECT_4_DMFT1D_OBC_1.0_0_0.in |                    248 |                     248 |                  212 |                   212 |                    223 |                     223 |                      242 |                              242 |                   248 |                    248 |                 212 |                  213 |                   223 |                    223 |                     241 |                             241 |                      248 |                       248 |                    212 |                     213 |                      223 |                       223 |                        241 |                                242 |                     248 |                      248 |                   212 |                    212 |                     223 |                      223 |                       241 |                               241
             result_SELECT_4_DMFT1D_OBC_1.0_0_1.in |                    149 |                     149 |                  124 |                   126 |                    134 |                     134 |                      152 |                              152 |                   149 |                    149 |                 124 |                  124 |                   134 |                    135 |                     145 |                             145 |                      149 |                       149 |                    124 |                     127 |                      134 |                       135 |                        148 |                                153 |                     149 |                      149 |                   124 |                    125 |                     134 |                      134 |                       144 |                               144
             result_SELECT_4_DMFT1D_OBC_1.0_0_2.in |                    100 |                     100 |                   84 |                    91 |                     93 |                      94 |                       98 |                               99 |                   100 |                    100 |                  84 |                   84 |                    93 |                     93 |                      99 |                              99 |                      100 |                       100 |                     84 |                      88 |                       93 |                        93 |                         98 |                                101 |                     100 |                      100 |                    84 |                     85 |                      93 |                       93 |                        99 |                                98
             result_SELECT_4_DMFT1D_OBC_1.0_0_3.in |                     60 |                      71 |                   42 |                    53 |                     53 |                      56 |                       68 |                               63 |                    60 |                     61 |                  42 |                   43 |                    53 |                     53 |                      59 |                              59 |                       60 |                        61 |                     42 |                      51 |                       53 |                        55 |                         60 |                                 63 |                      60 |                       60 |                    42 |                     43 |                      53 |                       53 |                        60 |                                60
             result_SELECT_4_DMFT1D_OBC_1.0_0_4.in |                     50 |                      81 |                   22 |                    47 |                     35 |                      58 |                       65 |                               67 |                    50 |                     50 |                  22 |                   26 |                    35 |                     37 |                      43 |                              43 |                       50 |                        53 |                     22 |                      35 |                       35 |                        43 |                         54 |                                 57 |                      50 |                       50 |                    22 |                     25 |                      35 |                       36 |                        42 |                                44
             result_SELECT_4_DMFT1D_OBC_3.0_0_0.in |                    898 |                     898 |                  820 |                   820 |                    843 |                     843 |                      883 |                              883 |                   898 |                    898 |                 820 |                  823 |                   843 |                    843 |                     883 |                             883 |                      898 |                       898 |                    820 |                     820 |                      843 |                       843 |                        899 |                                899 |                     898 |                      898 |                   820 |                    820 |                     843 |                      843 |                       883 |                               883
             result_SELECT_4_DMFT1D_OBC_3.0_0_1.in |                    556 |                     556 |                  504 |                   509 |                    534 |                     535 |                      550 |                              550 |                   556 |                    556 |                 504 |                  509 |                   534 |                    535 |                     552 |                             552 |                      556 |                       556 |                    504 |                     504 |                      534 |                       534 |                        548 |                                549 |                     556 |                      556 |                   504 |                    508 |                     534 |                      534 |                       551 |                               564
             result_SELECT_4_DMFT1D_OBC_3.0_0_2.in |                    337 |                     339 |                  288 |                   298 |                    319 |                     320 |                      336 |                              335 |                   337 |                    337 |                 288 |                  291 |                   319 |                    321 |                     333 |                             333 |                      337 |                       337 |                    288 |                     298 |                      319 |                       319 |                        332 |                                337 |                     337 |                      337 |                   288 |                    292 |                     319 |                      319 |                       331 |                               339
             result_SELECT_4_DMFT1D_OBC_3.0_0_3.in |                    230 |                     234 |                  158 |                   172 |                    217 |                     219 |                      231 |                              234 |                   230 |                    230 |                 158 |                  181 |                   217 |                    217 |                     227 |                             227 |                      230 |                       230 |                    158 |                     196 |                      217 |                       217 |                        226 |                                233 |                     230 |                      230 |                   158 |                    180 |                     217 |                      217 |                       228 |                               228
             result_SELECT_4_DMFT1D_OBC_3.0_0_4.in |                    144 |                     173 |                  104 |                   123 |                    129 |                     139 |                      150 |                              155 |                   144 |                    145 |                 104 |                  108 |                   129 |                    129 |                     137 |                             138 |                      144 |                       145 |                    104 |                     119 |                      129 |                       134 |                        143 |                                150 |                     144 |                      144 |                   104 |                    106 |                     129 |                      129 |                       139 |                               139
