                                                   | Single No Top (2D RND) | Single No Kink (2D RND) | Proj No Top (2D RND) | Proj No Kink (2D RND) | Double No Top (2D RND) | Double No Kink (2D RND) | Double Yes Kink (2D RND) | Double Yes Kink w/ skip (2D RND) | Single No Top (2D SA) | Single No Kink (2D SA) | Proj No Top (2D SA) | Proj No Kink (2D SA) | Double No Top (2D SA) | Double No Kink (2D SA) | Double Yes Kink (2D SA) | Double Yes Kink w/ skip (2D SA) | Single No Top (2.5D RND) | Single No Kink (2.5D RND) | Single Yes Kink (2.5D RND) | Proj No Top (2.5D RND) | Proj No Kink (2.5D RND) | Double No Top (2.5D RND) | Double No Kink (2.5D RND) | Double Yes Kink (2.5D RND) | Double Yes Kink w/ skip (2.5D RND) | Single No Top (2.5D SA) | Single No Kink (2.5D SA) | Single Yes Kink (2.5D SA) | Proj No Top (2.5D SA) | Proj No Kink (2.5D SA) | Double No Top (2.5D SA) | Double No Kink (2.5D SA) | Double Yes Kink (2.5D SA) | Double Yes Kink w/ skip (2.5D SA)
result_SELECT_4_Heisenberg2D_cylinder_0.5_0.5_0.in |               0.434477 |                 1.61789 |             0.141642 |               5.37873 |               0.365049 |                 2.11763 |                  2.60147 |                          2.56101 |              0.420449 |                1.27394 |             0.14423 |              6.44572 |              0.364509 |                1.08115 |                 1.28695 |                         1.28429 |                 0.414719 |                   1.32168 |                     7.2642 |               0.145354 |                 4.51356 |                 0.363304 |                   2.24814 |                    2.96378 |                            3.26944 |                0.437745 |                  1.27716 |                   10.1922 |              0.146694 |                5.45707 |                0.367176 |                  1.36792 |                   1.72301 |                           1.76798
result_SELECT_4_Heisenberg2D_cylinder_0.5_0.5_1.in |               0.466766 |                 2.86615 |             0.154532 |               7.47265 |               0.388444 |                 4.61268 |                   5.8586 |                          5.86764 |              0.554446 |                2.21455 |            0.190164 |              8.44531 |              0.398698 |                1.52215 |                 1.77687 |                         1.71578 |                 0.423194 |                   2.90435 |                    14.8617 |                0.15951 |                 9.24025 |                 0.379397 |                   4.88038 |                    6.02629 |                            6.80198 |                0.422727 |                  2.30042 |                   18.5436 |              0.153701 |                9.86812 |                0.392007 |                  1.94211 |                   2.31098 |                           2.35558
result_SELECT_4_Heisenberg2D_cylinder_0.5_0.5_2.in |               0.519068 |                 5.23955 |              0.16389 |               11.5756 |               0.425395 |                 7.25331 |                    9.703 |                           9.1671 |              0.460228 |                 3.9912 |            0.164223 |              10.7732 |              0.431905 |                1.84254 |                 2.24503 |                         2.26717 |                 0.481511 |                   6.64638 |                    29.6153 |               0.169854 |                 18.0274 |                 0.436507 |                   10.7549 |                    13.6517 |                            14.6408 |                0.479654 |                  5.32373 |                   34.7984 |              0.177586 |                19.3423 |                0.441218 |                  2.69568 |                   3.26645 |                           3.36151
result_SELECT_4_Heisenberg2D_cylinder_0.5_0.5_3.in |                0.71476 |                 9.56747 |             0.181146 |               19.9016 |               0.510094 |                 15.0213 |                  17.6446 |                          17.3162 |              0.545184 |                7.12723 |            0.183162 |              16.0754 |              0.513205 |                2.50789 |                 3.27795 |                         3.28631 |                 0.558122 |                   11.2881 |                    53.5472 |               0.186214 |                 29.4945 |                 0.519026 |                    14.398 |                    18.1095 |                            22.5769 |                0.554289 |                  8.97909 |                   63.7395 |               0.18589 |                27.0869 |                0.514042 |                  3.04529 |                   3.61905 |                           3.67328
result_SELECT_4_Heisenberg2D_cylinder_0.5_0.5_4.in |               0.791072 |                 17.8301 |             0.222077 |               38.2167 |               0.681801 |                 29.9736 |                  39.2322 |                          40.0737 |              0.694614 |                14.5028 |            0.227544 |              28.8252 |              0.670186 |                5.10053 |                 5.74883 |                         6.03843 |                 0.720976 |                   23.8452 |                    128.314 |               0.229434 |                 55.9785 |                 0.674052 |                   38.5116 |                    46.6493 |                            51.6692 |                0.712885 |                  19.2921 |                    147.63 |              0.230108 |                  44.39 |                0.672782 |                  5.35197 |                   6.50751 |                           6.47089
result_SELECT_4_Heisenberg2D_cylinder_0.5_0.5_5.in |                1.14216 |                  44.461 |             0.303845 |               101.548 |               0.937564 |                 82.7087 |                    103.7 |                          106.347 |              0.977936 |                36.2026 |            0.314117 |              65.4042 |              0.944333 |                12.1474 |                 13.8495 |                          11.954 |                  1.01681 |                   51.9843 |                    335.411 |                0.30881 |                 124.009 |                 0.958934 |                   85.9946 |                    111.372 |                              125.3 |                 1.00099 |                  45.8765 |                   361.685 |              0.314281 |                93.1092 |                0.964332 |                  10.6565 |                   12.4426 |                           12.7136
result_SELECT_4_Heisenberg2D_cylinder_0.5_0.5_6.in |                1.87623 |                 115.275 |              0.45844 |               278.252 |                1.38294 |                 244.771 |                  270.591 |                          278.043 |                1.4853 |                 86.417 |            0.464452 |              132.366 |               1.38861 |                25.8148 |                 24.9547 |                         24.8051 |                  1.49885 |                   119.851 |                    959.347 |               0.447579 |                 290.732 |                  1.38217 |                   206.847 |                    283.611 |                            321.126 |                 1.46922 |                  104.628 |                   864.531 |              0.451496 |                154.086 |                 1.39948 |                  19.1449 |                   22.7409 |                            23.592
  result_SELECT_4_Heisenberg2D_cylinder_1_0.5_0.in |                2.20813 |                 9.85685 |              0.56871 |               30.7459 |                1.47839 |                 15.9462 |                  18.0924 |                          18.0483 |               1.92535 |                8.94281 |            0.603771 |              40.4645 |               1.57014 |                5.48384 |                 6.40622 |                         6.39824 |                  1.99752 |                    11.637 |                    61.1914 |               0.600158 |                 41.0771 |                  1.56553 |                   20.4367 |                    27.1388 |                            33.4879 |                 1.96377 |                  10.9082 |                   75.5578 |              0.605403 |                38.0295 |                 1.57464 |                  7.19518 |                   8.89071 |                           9.20897
  result_SELECT_4_Heisenberg2D_cylinder_1_0.5_1.in |                2.12659 |                 15.6232 |             0.582405 |               50.3682 |                1.54532 |                 24.3775 |                  30.2263 |                          29.4398 |               1.79271 |                13.2122 |            0.579976 |              56.2864 |               1.61019 |                6.50678 |                 7.66139 |                         7.65744 |                  1.78947 |                   13.8963 |                    69.0374 |               0.587689 |                  47.354 |                  1.45652 |                   19.7798 |                    24.7728 |                            27.8173 |                 1.67094 |                  11.8273 |                   89.3482 |              0.589591 |                47.1091 |                 1.45174 |                  7.35229 |                   9.28472 |                           9.39868
  result_SELECT_4_Heisenberg2D_cylinder_1_0.5_2.in |                2.06587 |                 25.4943 |             0.603814 |                70.694 |                1.62439 |                 39.6108 |                  50.0895 |                          51.5011 |               1.75454 |                 20.357 |            0.613185 |              77.4203 |               1.59143 |                7.31265 |                 8.65514 |                          8.6995 |                   1.8194 |                    29.185 |                    135.484 |               0.613555 |                 90.5773 |                  1.58297 |                   44.0084 |                     54.734 |                            66.2808 |                  1.7726 |                  24.5523 |                   165.054 |              0.613531 |                93.3049 |                 1.59402 |                   9.4949 |                   11.4796 |                           11.7876
  result_SELECT_4_Heisenberg2D_cylinder_1_0.5_3.in |                2.48768 |                 40.8039 |             0.657761 |                 103.1 |                1.82411 |                 66.3276 |                  83.8157 |                          83.4129 |               1.98713 |                34.2803 |            0.649768 |              117.389 |               1.84177 |                9.75175 |                 11.5142 |                         11.6025 |                  2.05397 |                   47.2508 |                    230.515 |               0.644696 |                 132.373 |                  1.83411 |                   69.8908 |                    87.9256 |                            106.214 |                 2.01214 |                  38.7513 |                   277.149 |              0.642018 |                138.982 |                 1.82271 |                  11.4187 |                   13.7908 |                           14.0862
  result_SELECT_4_Heisenberg2D_cylinder_1_0.5_4.in |                2.70452 |                 78.5534 |             0.668641 |               179.329 |                2.07234 |                 136.715 |                  174.415 |                          164.157 |               2.14356 |                61.2031 |            0.669992 |              193.218 |               2.07743 |                16.4745 |                 18.3189 |                         18.3727 |                  2.14699 |                   77.4929 |                    452.339 |               0.668781 |                  187.41 |                  2.07558 |                   120.412 |                    158.402 |                            185.323 |                 2.12973 |                  63.4814 |                   504.775 |              0.670847 |                 232.33 |                 2.07987 |                  16.0077 |                   19.9618 |                           19.9635
  result_SELECT_4_Heisenberg2D_cylinder_1_0.5_5.in |                3.19709 |                 151.582 |             0.771952 |               333.825 |                2.44824 |                 288.919 |                  358.942 |                          369.627 |               2.54239 |                108.425 |            0.779667 |              315.997 |               2.44991 |                44.1209 |                 39.2191 |                         36.7559 |                  2.57888 |                   171.679 |                    1255.11 |               0.784316 |                 383.385 |                  2.46813 |                   282.844 |                    352.035 |                            386.477 |                 2.54644 |                  131.916 |                   1157.17 |              0.776353 |                339.101 |                 2.44436 |                  27.6616 |                   32.5741 |                           34.7336
  result_SELECT_4_Heisenberg2D_cylinder_1_0.5_6.in |                3.90269 |                 347.078 |              0.99675 |               768.324 |                3.09895 |                 692.158 |                  819.745 |                          828.881 |               3.24317 |                219.214 |            0.993215 |              542.369 |               3.11759 |                114.798 |                 90.1192 |                          87.442 |                   3.3181 |                   356.433 |                    3245.04 |               0.991721 |                 843.519 |                  3.13006 |                   668.208 |                    864.323 |                            895.938 |                 3.26869 |                  278.706 |                   2356.93 |              0.981498 |                600.756 |                 3.08083 |                  62.6066 |                   67.5774 |                           68.8544
