                                                   | Single No Top | Single No Kink | Proj No Top | Proj No Kink | Single No Top (2.5D) | Single No Kink (2.5D) | Single Yes Kink (2.5D) | Proj No Top (2.5D) | Proj No Kink (2.5D)
  result_SELECT_4_FermiHubbard2D_cylinder_0_0_0.in |          1141 |           1141 |        1072 |         1072 |                 1141 |                  1141 |                   1141 |               1072 |                1072
  result_SELECT_4_FermiHubbard2D_cylinder_0_0_1.in |           678 |            678 |         632 |          636 |                  678 |                   678 |                    678 |                632 |                 633
  result_SELECT_4_FermiHubbard2D_cylinder_0_0_2.in |           373 |            378 |         328 |          335 |                  373 |                   373 |                    373 |                328 |                 333
  result_SELECT_4_FermiHubbard2D_cylinder_0_0_3.in |           230 |            236 |         164 |          190 |                  230 |                   230 |                    231 |                164 |                 185
  result_SELECT_4_FermiHubbard2D_cylinder_0_0_4.in |           136 |            187 |         110 |          130 |                  136 |                   138 |                    139 |                110 |                 125
result_SELECT_4_Heisenberg2D_cylinder_0.5_0.5_0.in |           719 |            719 |         624 |          626 |                  719 |                   719 |                    719 |                624 |                 624
result_SELECT_4_Heisenberg2D_cylinder_0.5_0.5_1.in |           371 |            373 |         312 |          318 |                  371 |                   371 |                    371 |                312 |                 317
result_SELECT_4_Heisenberg2D_cylinder_0.5_0.5_2.in |           200 |            228 |         157 |          167 |                  200 |                   200 |                    204 |                157 |                 164
result_SELECT_4_Heisenberg2D_cylinder_0.5_0.5_3.in |           119 |            147 |          80 |          106 |                  119 |                   120 |                    124 |                 80 |                  93
result_SELECT_4_Heisenberg2D_cylinder_0.5_0.5_4.in |            81 |            144 |          40 |           87 |                   81 |                    95 |                     96 |                 40 |                  64
result_SELECT_4_Heisenberg2D_cylinder_0.5_0.5_5.in |            66 |            162 |          24 |           84 |                   66 |                    93 |                     97 |                 24 |                  59
result_SELECT_4_Heisenberg2D_cylinder_0.5_0.5_6.in |            74 |            185 |          24 |           87 |                   74 |                   101 |                    104 |                 24 |                  64
  result_SELECT_4_Heisenberg2D_cylinder_1_0.5_0.in |          2831 |           2831 |        2496 |         2497 |                 2831 |                  2831 |                   2831 |               2496 |                2498
  result_SELECT_4_Heisenberg2D_cylinder_1_0.5_1.in |          1429 |           1452 |        1248 |         1254 |                 1429 |                  1429 |                   1430 |               1248 |                1251
  result_SELECT_4_Heisenberg2D_cylinder_1_0.5_2.in |           731 |            805 |         624 |          634 |                  731 |                   735 |                    744 |                624 |                 633
  result_SELECT_4_Heisenberg2D_cylinder_1_0.5_3.in |           389 |            505 |         312 |          337 |                  389 |                   397 |                    405 |                312 |                 324
  result_SELECT_4_Heisenberg2D_cylinder_1_0.5_4.in |           219 |            411 |         157 |          232 |                  219 |                   237 |                    250 |                157 |                 186
  result_SELECT_4_Heisenberg2D_cylinder_1_0.5_5.in |           151 |            393 |          80 |          190 |                  151 |                   186 |                    199 |                 80 |                 133
  result_SELECT_4_Heisenberg2D_cylinder_1_0.5_6.in |           115 |            381 |          48 |          168 |                  115 |                   174 |                    182 |                 48 |                 119
