                                                   | Double No Top (2D RND) | Double No Kink (2D RND) | Double Yes Kink (2D RND) | Double Yes Kink w/ skip (2D RND) | Double No Top (2D SA) | Double No Kink (2D SA) | Double Yes Kink (2D SA) | Double Yes Kink w/ skip (2D SA) | Double No Top (2.5D RND) | Double No Kink (2.5D RND) | Double Yes Kink (2.5D RND) | Double Yes Kink w/ skip (2.5D RND) | Double No Top (2.5D SA) | Double No Kink (2.5D SA) | Double Yes Kink (2.5D SA) | Double Yes Kink w/ skip (2.5D SA)
             result_SELECT_4_DMFT1D_OBC_1.0_0_0.in |               0.127462 |                0.818649 |                  1.11675 |                          1.11919 |              0.115378 |               0.389274 |                0.489259 |                        0.482374 |                 0.116986 |                  0.759129 |                   0.987996 |                            1.03245 |                0.117747 |                 0.475992 |                  0.623453 |                          0.614974
             result_SELECT_4_DMFT1D_OBC_1.0_0_1.in |               0.136315 |                 1.63897 |                   1.9661 |                          1.87213 |              0.129401 |               0.466538 |                0.561022 |                        0.569492 |                 0.132561 |                   1.45134 |                    1.87728 |                            2.08711 |                0.132559 |                 0.644202 |                  0.789452 |                          0.801448
             result_SELECT_4_DMFT1D_OBC_1.0_0_2.in |               0.154755 |                 2.57304 |                  2.74229 |                          2.71814 |               0.14954 |               0.631207 |                0.765205 |                        0.766042 |                 0.149017 |                    2.4703 |                     3.2645 |                            3.76642 |                0.163294 |                 0.863296 |                   1.06002 |                            1.0668
             result_SELECT_4_DMFT1D_OBC_1.0_0_3.in |               0.202429 |                 5.13354 |                  6.88323 |                          6.70007 |              0.200296 |                1.04362 |                  1.3828 |                          1.3552 |                 0.202647 |                   5.03653 |                    6.40325 |                            7.84986 |                0.205351 |                  1.21736 |                   1.52478 |                           1.58883
             result_SELECT_4_DMFT1D_OBC_1.0_0_4.in |                0.30611 |                 10.5219 |                  13.3572 |                          14.2462 |              0.285957 |                1.84351 |                 2.39266 |                         2.36091 |                 0.293719 |                   10.4717 |                    14.7472 |                            16.5212 |                0.297876 |                  2.04192 |                   2.53203 |                           2.55126
             result_SELECT_4_DMFT1D_OBC_3.0_0_0.in |               0.474239 |                  4.0698 |                   4.1572 |                           4.1613 |              0.429527 |                2.13328 |                 2.61608 |                         2.59808 |                 0.450215 |                   6.24295 |                    7.55208 |                            9.33463 |                0.431527 |                  2.33041 |                   2.93605 |                           3.07202
             result_SELECT_4_DMFT1D_OBC_3.0_0_1.in |               0.513771 |                 6.28615 |                  7.01577 |                          7.09136 |              0.447175 |                 2.0443 |                  2.4595 |                          2.4551 |                 0.467997 |                   9.29735 |                    10.8541 |                             12.716 |                 0.44579 |                  2.81337 |                    3.4502 |                           3.60878
             result_SELECT_4_DMFT1D_OBC_3.0_0_2.in |               0.563652 |                 10.9281 |                  13.0819 |                          13.3855 |              0.488489 |                2.55869 |                 3.03285 |                          3.0283 |                 0.505674 |                    11.261 |                     13.614 |                            15.7113 |                0.488872 |                  3.33584 |                   4.06966 |                           4.19426
             result_SELECT_4_DMFT1D_OBC_3.0_0_3.in |               0.656481 |                 17.9671 |                  22.9911 |                          24.1903 |              0.581836 |                3.46349 |                 4.23867 |                         4.25545 |                 0.596661 |                   20.9115 |                    25.3303 |                            29.5335 |                0.597159 |                  3.77612 |                   4.57911 |                           4.70066
             result_SELECT_4_DMFT1D_OBC_3.0_0_4.in |               0.856884 |                 35.5129 |                  46.5525 |                          46.8491 |              0.725246 |                4.98619 |                 5.85895 |                         5.77766 |                  0.75515 |                    37.489 |                    46.7825 |                            52.9056 |                0.740161 |                  5.64723 |                   6.74933 |                           7.09917
             result_SELECT_4_DMFT1D_OBC_3.0_0_5.in |                1.21632 |                 104.698 |                  127.507 |                          128.372 |               1.05322 |                10.2522 |                 12.1443 |                         11.8821 |                  1.07475 |                   90.4882 |                    119.918 |                             133.93 |                  1.0372 |                  10.5138 |                   12.4279 |                           12.4349
             result_SELECT_4_DMFT1D_OBC_3.0_0_6.in |                 1.8994 |                 239.284 |                  268.912 |                          287.156 |               1.48218 |                21.6447 |                 22.5304 |                         21.7984 |                   1.5106 |                   221.679 |                    292.663 |                            309.579 |                 1.47367 |                  19.7071 |                   22.5401 |                           24.0203
             result_SELECT_4_DMFT1D_OBC_5.0_0_0.in |                1.32787 |                 12.1102 |                   13.588 |                          13.7666 |              0.797756 |                4.79743 |                 5.40836 |                         5.43672 |                 0.823987 |                   11.3141 |                    13.7487 |                            16.4639 |                0.797059 |                  5.39749 |                   6.78745 |                           7.30032
             result_SELECT_4_DMFT1D_OBC_5.0_0_1.in |               0.983906 |                 13.8298 |                  15.8529 |                          15.6659 |              0.890952 |                4.89907 |                  5.7102 |                         5.71358 |                 0.899642 |                   19.2918 |                    22.2788 |                            25.8814 |                0.841647 |                  6.30131 |                   7.73723 |                           8.12425
             result_SELECT_4_DMFT1D_OBC_5.0_0_2.in |                 1.0567 |                 20.8587 |                  24.3264 |                          24.5551 |              0.884876 |                 5.2546 |                 6.20824 |                         6.19218 |                 0.919574 |                   27.6387 |                    32.0987 |                            36.9861 |                0.903511 |                  6.84035 |                   8.11967 |                           8.49033
             result_SELECT_4_DMFT1D_OBC_5.0_0_3.in |                  1.157 |                 34.8391 |                  41.5703 |                          41.8584 |              0.958313 |                6.00553 |                 7.21783 |                         7.11041 |                 0.989728 |                   41.9951 |                    49.9062 |                            57.7097 |                0.961415 |                  7.06611 |                   8.43982 |                           8.65069
             result_SELECT_4_DMFT1D_OBC_5.0_0_4.in |                1.32069 |                 59.9548 |                  70.9905 |                          72.1393 |               1.10211 |                7.52415 |                 9.03493 |                         9.11954 |                  1.14455 |                   62.7227 |                    75.0506 |                            86.6969 |                 1.11736 |                  9.25516 |                   11.0634 |                           11.3001
             result_SELECT_4_DMFT1D_OBC_5.0_0_5.in |                1.76154 |                 124.563 |                  149.166 |                          152.735 |               1.37201 |                12.5559 |                 15.3986 |                         14.6824 |                  1.42885 |                   131.003 |                     162.46 |                            187.293 |                 1.39943 |                  15.0239 |                   17.4765 |                           18.9678
             result_SELECT_4_DMFT1D_OBC_5.0_0_6.in |                2.37968 |                 321.271 |                  359.351 |                          365.769 |               1.78906 |                24.8813 |                 27.1592 |                         26.4756 |                  1.84207 |                    287.94 |                    358.686 |                            398.132 |                 1.83525 |                  25.2253 |                   29.5599 |                           30.8508
             result_SELECT_4_DMFT2D_OBC_1.0_0_0.in |                1.57945 |                 15.8077 |                  18.7157 |                          18.6833 |               1.30856 |                7.68781 |                 8.62199 |                         8.62769 |                  1.26664 |                   14.7077 |                    18.8535 |                            20.9689 |                 1.22581 |                  8.14591 |                   10.5287 |                           10.8724
