           | Single No Top | Single No Kink | Single Yes Kink | Multi No Top | Multi No Kink | Proj No Kink
 small1.in |            24 |             24 |              25 |           13 |            13 |           14
small10.in |            23 |             23 |              23 |           15 |            15 |           15
 small2.in |            24 |             24 |              25 |           16 |            18 |           17
 small3.in |            21 |             21 |              22 |           15 |            15 |           15
 small4.in |            24 |             24 |              24 |           12 |            15 |           16
 small5.in |            23 |             23 |              23 |           13 |            15 |           15
 small6.in |            21 |             21 |              22 |           15 |            15 |           15
 small7.in |            24 |             25 |              25 |           17 |            18 |           17
 small8.in |            24 |             24 |              24 |           17 |            18 |           18
 small9.in |            27 |             27 |              27 |           13 |            15 |           15
