                                                    | Single No MSF (1 outer random) | Single No Top (1 outer random) | Single No Kink (1 outer random) | Proj No MSF (1 outer random) | Proj No Top (1 outer random) | Proj No Kink (1 outer random) | Proj Yes Kink (1 outer random) | Double No MSF (1 outer random) | Double No Top (1 outer random) | Double No Kink (1 outer random) | Double Yes Kink (1 outer random) | Single No MSF (1 outer SA) | Single No Top (1 outer SA) | Single No Kink (1 outer SA) | Proj No MSF (1 outer SA) | Proj No Top (1 outer SA) | Proj No Kink (1 outer SA) | Proj Yes Kink (1 outer SA) | Double No MSF (1 outer SA) | Double No Top (1 outer SA) | Double No Kink (1 outer SA) | Double Yes Kink (1 outer SA) | Single No MSF (1 outer naive) | Single No Top (1 outer naive) | Single No Kink (1 outer naive) | Proj No MSF (1 outer naive) | Proj No Top (1 outer naive) | Proj No Kink (1 outer naive) | Proj Yes Kink (1 outer naive) | Double No MSF (1 outer naive) | Double No Top (1 outer naive) | Double No Kink (1 outer naive) | Double Yes Kink (1 outer naive) | Single No MSF (1 inner random) | Single No Top (1 inner random) | Single No Kink (1 inner random) | Proj No MSF (1 inner random) | Proj No Top (1 inner random) | Proj No Kink (1 inner random) | Proj Yes Kink (1 inner random) | Double No MSF (1 inner random) | Double No Top (1 inner random) | Double No Kink (1 inner random) | Double Yes Kink (1 inner random) | Single No MSF (1 inner SA) | Single No Top (1 inner SA) | Single No Kink (1 inner SA) | Proj No MSF (1 inner SA) | Proj No Top (1 inner SA) | Proj No Kink (1 inner SA) | Proj Yes Kink (1 inner SA) | Double No MSF (1 inner SA) | Double No Top (1 inner SA) | Double No Kink (1 inner SA) | Double Yes Kink (1 inner SA) | Single No MSF (1 inner naive) | Single No Top (1 inner naive) | Single No Kink (1 inner naive) | Proj No MSF (1 inner naive) | Proj No Top (1 inner naive) | Proj No Kink (1 inner naive) | Proj Yes Kink (1 inner naive) | Double No MSF (1 inner naive) | Double No Top (1 inner naive) | Double No Kink (1 inner naive) | Double Yes Kink (1 inner naive) | Single No MSF (2 outer random) | Single No Top (2 outer random) | Single No Kink (2 outer random) | Single Yes Kink (2 outer random) | Proj No MSF (2 outer random) | Proj No Top (2 outer random) | Proj No Kink (2 outer random) | Proj Yes Kink (2 outer random) | Double No MSF (2 outer random) | Double No Top (2 outer random) | Double No Kink (2 outer random) | Double Yes Kink (2 outer random) | Single No MSF (2 outer SA) | Single No Top (2 outer SA) | Single No Kink (2 outer SA) | Single Yes Kink (2 outer SA) | Proj No MSF (2 outer SA) | Proj No Top (2 outer SA) | Proj No Kink (2 outer SA) | Proj Yes Kink (2 outer SA) | Double No MSF (2 outer SA) | Double No Top (2 outer SA) | Double No Kink (2 outer SA) | Double Yes Kink (2 outer SA) | Single No MSF (2 outer naive) | Single No Top (2 outer naive) | Single No Kink (2 outer naive) | Single Yes Kink (2 outer naive) | Proj No MSF (2 outer naive) | Proj No Top (2 outer naive) | Proj No Kink (2 outer naive) | Proj Yes Kink (2 outer naive) | Double No MSF (2 outer naive) | Double No Top (2 outer naive) | Double No Kink (2 outer naive) | Double Yes Kink (2 outer naive) | Single No MSF (2 inner random) | Single No Top (2 inner random) | Single No Kink (2 inner random) | Single Yes Kink (2 inner random) | Proj No MSF (2 inner random) | Proj No Top (2 inner random) | Proj No Kink (2 inner random) | Proj Yes Kink (2 inner random) | Double No MSF (2 inner random) | Double No Top (2 inner random) | Double No Kink (2 inner random) | Double Yes Kink (2 inner random) | Single No MSF (2 inner SA) | Single No Top (2 inner SA) | Single No Kink (2 inner SA) | Single Yes Kink (2 inner SA) | Proj No MSF (2 inner SA) | Proj No Top (2 inner SA) | Proj No Kink (2 inner SA) | Proj Yes Kink (2 inner SA) | Double No MSF (2 inner SA) | Double No Top (2 inner SA) | Double No Kink (2 inner SA) | Double Yes Kink (2 inner SA) | Single No MSF (2 inner naive) | Single No Top (2 inner naive) | Single No Kink (2 inner naive) | Single Yes Kink (2 inner naive) | Proj No MSF (2 inner naive) | Proj No Top (2 inner naive) | Proj No Kink (2 inner naive) | Proj Yes Kink (2 inner naive) | Double No MSF (2 inner naive) | Double No Top (2 inner naive) | Double No Kink (2 inner naive) | Double Yes Kink (2 inner naive)
        result_SELECT_100_Heisenberg1D_OBC_1_0_0.in |                           8662 |                           8664 |                            8664 |                         7128 |                         7128 |                          7131 |                           7131 |                           8061 |                           8062 |                            8064 |                             8064 |                       8662 |                       8664 |                        8664 |                     7128 |                     7128 |                      7128 |                       7128 |                       8061 |                       8062 |                        8063 |                         8063 |                          8662 |                          8664 |                           8664 |                        7128 |                        7128 |                         7130 |                          7130 |                          8061 |                          8062 |                           8063 |                            8063 |                           8662 |                           8664 |                            8664 |                         7128 |                         7128 |                          7130 |                           7129 |                           8061 |                           8062 |                            8070 |                             8066 |                       8662 |                       8664 |                        8664 |                     7128 |                     7128 |                      7132 |                       7132 |                       8061 |                       8062 |                        8063 |                         8063 |                          8662 |                          8664 |                           8664 |                        7128 |                        7128 |                         7130 |                          7130 |                          8061 |                          8062 |                           8063 |                            8063 |                           8662 |                           8664 |                            8664 |                             8664 |                         7128 |                         7128 |                          7129 |                           7129 |                           8061 |                           8062 |                            8656 |                             8954 |                       8662 |                       8664 |                        8664 |                         8664 |                     7128 |                     7128 |                      7128 |                       7128 |                       8061 |                       8062 |                        8063 |                         8063 |                          8662 |                          8664 |                           8664 |                            8664 |                        7128 |                        7128 |                         7130 |                          7130 |                          8061 |                          8062 |                           8063 |                            8063 |                           8662 |                           8664 |                            8664 |                             8664 |                         7128 |                         7128 |                          7128 |                           7128 |                           8061 |                           8062 |                            8654 |                             8951 |                       8662 |                       8664 |                        8664 |                         8664 |                     7128 |                     7128 |                      7128 |                       7129 |                       8061 |                       8062 |                        8062 |                         8063 |                          8662 |                          8664 |                           8664 |                            8664 |                        7128 |                        7128 |                         7130 |                          7130 |                          8061 |                          8062 |                           8063 |                            8063
        result_SELECT_100_Heisenberg1D_OBC_1_0_1.in |                           4359 |                           4360 |                            4361 |                         3564 |                         3564 |                          3567 |                           3568 |                           4053 |                           4054 |                            4057 |                             4058 |                       4359 |                       4360 |                        4360 |                     3564 |                     3564 |                      3568 |                       3568 |                       4053 |                       4054 |                        4055 |                         4055 |                          4359 |                          4360 |                           4363 |                        3564 |                        3564 |                         3578 |                          3581 |                          4053 |                          4054 |                           4060 |                            4062 |                           4359 |                           4360 |                            4362 |                         3564 |                         3564 |                          3566 |                           3567 |                           4053 |                           4054 |                            4058 |                             4058 |                       4359 |                       4360 |                        4360 |                     3564 |                     3564 |                      3566 |                       3568 |                       4053 |                       4054 |                        4054 |                         4056 |                          4359 |                          4360 |                           4363 |                        3564 |                        3564 |                         3578 |                          3581 |                          4053 |                          4054 |                           4060 |                            4062 |                           4359 |                           4360 |                            4360 |                             4360 |                         3564 |                         3564 |                          3568 |                           3567 |                           4053 |                           4054 |                            4058 |                             4059 |                       4359 |                       4360 |                        4360 |                         4360 |                     3564 |                     3564 |                      3566 |                       3564 |                       4053 |                       4054 |                        4055 |                         4055 |                          4359 |                          4360 |                           4360 |                            4360 |                        3564 |                        3564 |                         3575 |                          3575 |                          4053 |                          4054 |                           4055 |                            4055 |                           4359 |                           4360 |                            4360 |                             4360 |                         3564 |                         3564 |                          3565 |                           3567 |                           4053 |                           4054 |                            4202 |                             4202 |                       4359 |                       4360 |                        4360 |                         4360 |                     3564 |                     3564 |                      3568 |                       3566 |                       4053 |                       4054 |                        4054 |                         4054 |                          4359 |                          4360 |                           4360 |                            4360 |                        3564 |                        3564 |                         3575 |                          3575 |                          4053 |                          4054 |                           4055 |                            4055
        result_SELECT_100_Heisenberg1D_OBC_1_0_2.in |                           2212 |                           2212 |                            2220 |                         1785 |                         1785 |                          1797 |                           1797 |                           2053 |                           2053 |                            2058 |                             2063 |                       2212 |                       2212 |                        2212 |                     1785 |                     1785 |                      1792 |                       1791 |                       2053 |                       2053 |                        2057 |                         2058 |                          2212 |                          2212 |                           2452 |                        1785 |                        1785 |                         1828 |                          1835 |                          2053 |                          2053 |                           2478 |                            2445 |                           2212 |                           2212 |                            2225 |                         1785 |                         1785 |                          1795 |                           1796 |                           2053 |                           2053 |                            2161 |                             2272 |                       2212 |                       2212 |                        2212 |                     1785 |                     1785 |                      1795 |                       1796 |                       2053 |                       2053 |                        2056 |                         2057 |                          2212 |                          2212 |                           2452 |                        1785 |                        1785 |                         1828 |                          1835 |                          2053 |                          2053 |                           2478 |                            2445 |                           2212 |                           2212 |                            2213 |                             2213 |                         1785 |                         1785 |                          1793 |                           1794 |                           2053 |                           2053 |                            2055 |                             2131 |                       2212 |                       2212 |                        2212 |                         2212 |                     1785 |                     1785 |                      1790 |                       1789 |                       2053 |                       2053 |                        2056 |                         2059 |                          2212 |                          2212 |                           2215 |                            2220 |                        1785 |                        1785 |                         1813 |                          1817 |                          2053 |                          2053 |                           2059 |                            2065 |                           2212 |                           2212 |                            2214 |                             2214 |                         1785 |                         1785 |                          1790 |                           1793 |                           2053 |                           2053 |                            2059 |                             2132 |                       2212 |                       2212 |                        2212 |                         2212 |                     1785 |                     1785 |                      1788 |                       1791 |                       2053 |                       2053 |                        2057 |                         2131 |                          2212 |                          2212 |                           2215 |                            2220 |                        1785 |                        1785 |                         1813 |                          1817 |                          2053 |                          2053 |                           2059 |                            2065
        result_SELECT_100_Heisenberg1D_OBC_1_0_3.in |                           1142 |                           1142 |                            1247 |                          897 |                          897 |                           915 |                            916 |                           1056 |                           1056 |                            1089 |                             1110 |                       1142 |                       1142 |                        1143 |                      897 |                      897 |                       909 |                        909 |                       1056 |                       1056 |                        1062 |                         1064 |                          1142 |                          1142 |                           1951 |                         897 |                         897 |                         1090 |                          1128 |                          1056 |                          1056 |                           1476 |                            1498 |                           1142 |                           1142 |                            1243 |                          897 |                          897 |                           917 |                            926 |                           1056 |                           1056 |                            1086 |                             1086 |                       1142 |                       1142 |                        1144 |                      897 |                      897 |                       909 |                        910 |                       1056 |                       1056 |                        1059 |                         1059 |                          1142 |                          1142 |                           1951 |                         897 |                         897 |                         1090 |                          1128 |                          1056 |                          1056 |                           1476 |                            1498 |                           1142 |                           1142 |                            1145 |                             1146 |                          897 |                          897 |                           909 |                            910 |                           1056 |                           1056 |                            1187 |                             1203 |                       1142 |                       1142 |                        1142 |                         1142 |                      897 |                      897 |                       906 |                        907 |                       1056 |                       1056 |                        1060 |                         1097 |                          1142 |                          1142 |                           1231 |                            1221 |                         897 |                         897 |                          956 |                           970 |                          1056 |                          1056 |                           1214 |                            1185 |                           1142 |                           1142 |                            1146 |                             1148 |                          897 |                          897 |                           908 |                            909 |                           1056 |                           1056 |                            1173 |                             1183 |                       1142 |                       1142 |                        1142 |                         1143 |                      897 |                      897 |                       905 |                        907 |                       1056 |                       1056 |                        1059 |                         1095 |                          1142 |                          1142 |                           1231 |                            1221 |                         897 |                         897 |                          956 |                           970 |                          1056 |                          1056 |                           1214 |                            1185
        result_SELECT_100_Heisenberg1D_OBC_1_0_4.in |                            606 |                            606 |                             910 |                          453 |                          453 |                           496 |                            500 |                            557 |                            557 |                             639 |                              655 |                        606 |                        606 |                         609 |                      453 |                      453 |                       469 |                        472 |                        557 |                        557 |                         581 |                          573 |                           606 |                           606 |                           1478 |                         453 |                         453 |                          855 |                           879 |                           557 |                           557 |                           1150 |                            1143 |                            606 |                            606 |                             960 |                          453 |                          453 |                           496 |                            501 |                            557 |                            557 |                             644 |                              693 |                        606 |                        606 |                         608 |                      453 |                      453 |                       471 |                        473 |                        557 |                        557 |                         562 |                          572 |                           606 |                           606 |                           1478 |                         453 |                         453 |                          855 |                           879 |                           557 |                           557 |                           1150 |                            1143 |                            606 |                            606 |                             620 |                              620 |                          453 |                          453 |                           474 |                            474 |                            557 |                            557 |                             582 |                              598 |                        606 |                        606 |                         607 |                          607 |                      453 |                      453 |                       466 |                        467 |                        557 |                        557 |                         564 |                          582 |                           606 |                           606 |                            920 |                             894 |                         453 |                         453 |                          662 |                           681 |                           557 |                           557 |                            807 |                             826 |                            606 |                            606 |                             632 |                              628 |                          453 |                          453 |                           473 |                            478 |                            557 |                            557 |                             631 |                              622 |                        606 |                        606 |                         607 |                          607 |                      453 |                      453 |                       466 |                        467 |                        557 |                        557 |                         565 |                          582 |                           606 |                           606 |                            920 |                             894 |                         453 |                         453 |                          662 |                           681 |                           557 |                           557 |                            807 |                             826
        result_SELECT_100_Heisenberg1D_OBC_1_0_5.in |                            340 |                            341 |                             812 |                          228 |                          228 |                           363 |                            370 |                            309 |                            310 |                             492 |                              502 |                        340 |                        341 |                         351 |                      228 |                      228 |                       259 |                        264 |                        309 |                        310 |                         324 |                          338 |                           340 |                           341 |                            810 |                         228 |                         228 |                          718 |                           733 |                           309 |                           310 |                            664 |                             668 |                            340 |                            341 |                             744 |                          228 |                          228 |                           351 |                            360 |                            309 |                            310 |                             457 |                              465 |                        340 |                        341 |                         348 |                      228 |                      228 |                       259 |                        260 |                        309 |                        310 |                         328 |                          335 |                           340 |                           341 |                            810 |                         228 |                         228 |                          718 |                           733 |                           309 |                           310 |                            664 |                             668 |                            340 |                            340 |                             380 |                              385 |                          228 |                          228 |                           283 |                            286 |                            309 |                            309 |                             384 |                              400 |                        340 |                        340 |                         343 |                          343 |                      228 |                      228 |                       246 |                        251 |                        309 |                        309 |                         346 |                          373 |                           340 |                           340 |                            599 |                             597 |                         228 |                         228 |                          528 |                           541 |                           309 |                           309 |                            528 |                             522 |                            340 |                            340 |                             379 |                              384 |                          228 |                          228 |                           276 |                            280 |                            309 |                            309 |                             386 |                              390 |                        340 |                        340 |                         343 |                          343 |                      228 |                      228 |                       245 |                        248 |                        309 |                        309 |                         327 |                          336 |                           340 |                           340 |                            599 |                             597 |                         228 |                         228 |                          528 |                           541 |                           309 |                           309 |                            528 |                             522
        result_SELECT_100_Heisenberg1D_OBC_1_0_6.in |                            206 |                            211 |                             755 |                          117 |                          123 |                           300 |                            305 |                            185 |                            185 |                             436 |                              438 |                        206 |                        211 |                         237 |                      117 |                      123 |                       169 |                        175 |                        185 |                        185 |                         225 |                          240 |                           206 |                           211 |                           1039 |                         117 |                         123 |                          692 |                           705 |                           185 |                           185 |                            756 |                             762 |                            206 |                            208 |                             673 |                          117 |                          117 |                           285 |                            291 |                            185 |                            185 |                             399 |                              400 |                        206 |                        211 |                         226 |                      117 |                      123 |                       167 |                        172 |                        185 |                        185 |                         213 |                          214 |                           206 |                           211 |                           1039 |                         117 |                         123 |                          692 |                           705 |                           185 |                           185 |                            756 |                             762 |                            206 |                            207 |                             330 |                              336 |                          117 |                          117 |                           220 |                            224 |                            185 |                            185 |                             298 |                              292 |                        206 |                        207 |                         213 |                          215 |                      117 |                      117 |                       151 |                        154 |                        185 |                        185 |                         217 |                          224 |                           206 |                           207 |                            482 |                             440 |                         117 |                         117 |                          500 |                           510 |                           185 |                           185 |                            434 |                             431 |                            206 |                            206 |                             311 |                              319 |                          117 |                          117 |                           207 |                            211 |                            185 |                            185 |                             262 |                              272 |                        206 |                        207 |                         210 |                          212 |                      117 |                      117 |                       146 |                        149 |                        185 |                        185 |                         205 |                          215 |                           206 |                           207 |                            482 |                             440 |                         117 |                         117 |                          500 |                           510 |                           185 |                           185 |                            434 |                             431
           result_SELECT_100_Schwinger_OBC_0_0_0.in |                          37309 |                          37311 |                           37311 |                        30789 |                        30789 |                         30790 |                          30791 |                          34726 |                          34727 |                           34730 |                            34766 |                      37309 |                      37311 |                       37311 |                    30789 |                    30789 |                     30789 |                      30789 |                      34726 |                      34727 |                       34728 |                        34728 |                         37309 |                         37311 |                          37311 |                       30789 |                       30789 |                        30792 |                         30794 |                         34726 |                         34727 |                          34728 |                           34729 |                          37309 |                          37311 |                           37311 |                        30789 |                        30789 |                         30791 |                          30790 |                          34726 |                          34727 |                           34728 |                            34733 |                      37309 |                      37311 |                       37311 |                    30789 |                    30789 |                     30794 |                      30794 |                      34726 |                      34727 |                       34728 |                        34728 |                         37309 |                         37311 |                          37311 |                       30789 |                       30789 |                        30792 |                         30794 |                         34726 |                         34727 |                          34728 |                           34729 |                          37309 |                          37311 |                           37311 |                            37311 |                        30789 |                        30789 |                         30790 |                          30789 |                          34726 |                          34727 |                           34728 |                            34730 |                      37309 |                      37311 |                       37311 |                        37311 |                    30789 |                    30789 |                     30789 |                      30789 |                      34726 |                      34727 |                       34728 |                        34730 |                         37309 |                         37311 |                          37311 |                           37311 |                       30789 |                       30789 |                        30794 |                         30793 |                         34726 |                         34727 |                          34735 |                           34731 |                          37309 |                          37311 |                           37311 |                            37311 |                        30789 |                        30789 |                         30789 |                          30793 |                          34726 |                          34727 |                           34729 |                            34748 |                      37309 |                      37311 |                       37311 |                        37311 |                    30789 |                    30789 |                     30791 |                      30792 |                      34726 |                      34727 |                       34728 |                        34728 |                         37309 |                         37311 |                          37311 |                           37311 |                       30789 |                       30789 |                        30794 |                         30793 |                         34726 |                         34727 |                          34735 |                           34731
           result_SELECT_100_Schwinger_OBC_0_0_1.in |                          18708 |                          18709 |                           18725 |                        15416 |                        15416 |                         15418 |                          15418 |                          17407 |                          17408 |                           17450 |                            17461 |                      18708 |                      18709 |                       18709 |                    15416 |                    15416 |                     15417 |                      15416 |                      17407 |                      17408 |                       17408 |                        17408 |                         18708 |                         18709 |                          18766 |                       15416 |                       15416 |                        15439 |                         15449 |                         17407 |                         17408 |                          17418 |                           17580 |                          18708 |                          18709 |                           18732 |                        15416 |                        15416 |                         15416 |                          15418 |                          17407 |                          17408 |                           17467 |                            17490 |                      18708 |                      18709 |                       18714 |                    15416 |                    15416 |                     15423 |                      15423 |                      17407 |                      17408 |                       17408 |                        17409 |                         18708 |                         18709 |                          18766 |                       15416 |                       15416 |                        15439 |                         15449 |                         17407 |                         17408 |                          17418 |                           17580 |                          18708 |                          18709 |                           18709 |                            18710 |                        15416 |                        15416 |                         15421 |                          15421 |                          17407 |                          17408 |                           17408 |                            18023 |                      18708 |                      18709 |                       18709 |                        18709 |                    15416 |                    15416 |                     15418 |                      15418 |                      17407 |                      17408 |                       17408 |                        17415 |                         18708 |                         18709 |                          18709 |                           18714 |                       15416 |                       15416 |                        15431 |                         15431 |                         17407 |                         17408 |                          17410 |                           17408 |                          18708 |                          18709 |                           18736 |                            18737 |                        15416 |                        15416 |                         15421 |                          15461 |                          17407 |                          17408 |                           17409 |                            17428 |                      18708 |                      18709 |                       18709 |                        18709 |                    15416 |                    15416 |                     15417 |                      15417 |                      17407 |                      17408 |                       17408 |                        17408 |                         18708 |                         18709 |                          18709 |                           18714 |                       15416 |                       15416 |                        15431 |                         15431 |                         17407 |                         17408 |                          17410 |                           17408
           result_SELECT_100_Schwinger_OBC_0_0_2.in |                           9403 |                           9403 |                            9557 |                         7713 |                         7713 |                          7731 |                           7731 |                           8734 |                           8735 |                            8801 |                             8881 |                       9403 |                       9403 |                        9416 |                     7713 |                     7713 |                      7718 |                       7719 |                       8734 |                       8735 |                        8739 |                         8744 |                          9403 |                          9403 |                          10670 |                        7713 |                        7713 |                         7956 |                          8037 |                          8734 |                          8735 |                           9394 |                            9474 |                           9403 |                           9403 |                            9599 |                         7713 |                         7713 |                          7731 |                           7731 |                           8734 |                           8735 |                            8781 |                             8797 |                       9403 |                       9403 |                        9411 |                     7713 |                     7713 |                      7721 |                       7725 |                       8734 |                       8735 |                        8739 |                         8754 |                          9403 |                          9403 |                          10670 |                        7713 |                        7713 |                         7956 |                          8037 |                          8734 |                          8735 |                           9394 |                            9474 |                           9403 |                           9403 |                            9411 |                             9412 |                         7713 |                         7713 |                          7726 |                           7725 |                           8734 |                           8735 |                            8773 |                             9144 |                       9403 |                       9403 |                        9403 |                         9403 |                     7713 |                     7713 |                      7718 |                       7718 |                       8734 |                       8735 |                        8737 |                         8743 |                          9403 |                          9403 |                           9420 |                            9480 |                        7713 |                        7713 |                         7778 |                          7799 |                          8734 |                          8735 |                           8752 |                            8776 |                           9403 |                           9403 |                            9415 |                             9416 |                         7713 |                         7713 |                          7721 |                           7722 |                           8734 |                           8735 |                            9351 |                             9387 |                       9403 |                       9403 |                        9404 |                         9404 |                     7713 |                     7713 |                      7717 |                       7716 |                       8734 |                       8735 |                        8741 |                         8748 |                          9403 |                          9403 |                           9420 |                            9480 |                        7713 |                        7713 |                         7778 |                          7799 |                          8734 |                          8735 |                           8752 |                            8776
