                                                    | Single No Top | Single No Kink | Proj No Top | Proj No Kink | Double No Top | Double No Kink | Double Yes Kink | Double Yes Kink w/ skip | Single No Top (2.5D) | Single No Kink (2.5D) | Single Yes Kink (2.5D) | Proj No Top (2.5D) | Proj No Kink (2.5D) | Double No Top (2.5D) | Double No Kink (2.5D) | Double Yes Kink (2.5D) | Double Yes Kink w/ skip (2.5D)
  result_SELECT_10_FermiHubbard2D_cylinder_0_0_0.in |         12286 |          12286 |       11920 |        11921 |         12286 |          12287 |           12470 |                   12470 |                12286 |                 12286 |                  12286 |              11920 |               11921 |                12286 |                 12287 |                  12391 |                          12392
  result_SELECT_10_FermiHubbard2D_cylinder_0_0_1.in |          7653 |           7654 |        7466 |         7740 |          7653 |           7654 |            7970 |                    7970 |                 7653 |                  7653 |                   7653 |               7466 |                7706 |                 7653 |                  7654 |                   7780 |                           7780
  result_SELECT_10_FermiHubbard2D_cylinder_0_0_2.in |          4324 |           4326 |        3910 |         4230 |          4324 |           4325 |            4531 |                    4531 |                 4324 |                  4324 |                   4324 |               3910 |                4230 |                 4324 |                  4325 |                   4426 |                           4433
  result_SELECT_10_FermiHubbard2D_cylinder_0_0_3.in |          2331 |           2393 |        2050 |         2541 |          2331 |           2347 |            2524 |                    2524 |                 2331 |                  2331 |                   2333 |               2050 |                2580 |                 2331 |                  2332 |                   2433 |                           2440
  result_SELECT_10_FermiHubbard2D_cylinder_0_0_4.in |          1373 |           1460 |        1042 |         1349 |          1373 |           1393 |            1581 |                    1595 |                 1373 |                  1377 |                   1379 |               1042 |                1333 |                 1373 |                  1376 |                   1473 |                           1482
         result_SELECT_10_Heisenberg1D_OBC_1_0_0.in |           500 |            500 |         432 |          434 |           500 |            501 |             559 |                     559 |                  500 |                   500 |                    500 |                432 |                 432 |                  500 |                   500 |                    535 |                            535
         result_SELECT_10_Heisenberg1D_OBC_1_0_1.in |           259 |            268 |         216 |          223 |           259 |            262 |             295 |                     295 |                  259 |                   259 |                    259 |                216 |                 220 |                  259 |                   260 |                    277 |                            277
         result_SELECT_10_Heisenberg1D_OBC_1_0_2.in |           141 |            152 |         109 |          117 |           141 |            146 |             176 |                     176 |                  141 |                   142 |                    145 |                109 |                 116 |                  141 |                   143 |                    164 |                            164
         result_SELECT_10_Heisenberg1D_OBC_1_0_3.in |            85 |            116 |          56 |           73 |            85 |             97 |             117 |                     117 |                   85 |                    89 |                     92 |                 56 |                  69 |                   85 |                    91 |                    103 |                            108
         result_SELECT_10_Heisenberg1D_OBC_1_0_4.in |            60 |            113 |          29 |           69 |            60 |             94 |             103 |                     103 |                   60 |                    74 |                     81 |                 29 |                  49 |                   60 |                    69 |                     78 |                             80
         result_SELECT_10_Heisenberg1D_OBC_1_0_5.in |            60 |            135 |          16 |           70 |            60 |            102 |             108 |                     108 |                   60 |                    79 |                     81 |                 16 |                  47 |                   60 |                    76 |                     81 |                             81
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0.in |          5022 |           5022 |        4440 |         4442 |          5022 |           5023 |            5363 |                    5363 |                 5022 |                  5022 |                   5022 |               4440 |                4442 |                 5022 |                  5023 |                   5039 |                           5039
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1.in |          2527 |           2532 |        2221 |         2224 |          2527 |           2528 |            2842 |                    2842 |                 2527 |                  2527 |                   2529 |               2221 |                2224 |                 2527 |                  2528 |                   2642 |                           2642
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_2.in |          1283 |           1354 |        1112 |         1120 |          1283 |           1288 |            1500 |                    1500 |                 1283 |                  1283 |                   1285 |               1112 |                1117 |                 1283 |                  1284 |                   1400 |                           1397
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_3.in |           662 |            889 |         557 |          574 |           662 |            722 |             851 |                     862 |                  662 |                   668 |                    679 |                557 |                 569 |                  662 |                   667 |                    756 |                            763
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_4.in |           354 |            689 |         280 |          363 |           354 |            476 |             513 |                     519 |                  354 |                   372 |                    382 |                280 |                 302 |                  354 |                   367 |                    456 |                            464
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5.in |           206 |            608 |         141 |          282 |           206 |            395 |             410 |                     412 |                  206 |                   277 |                    295 |                141 |                 203 |                  206 |                   252 |                    284 |                            293
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6.in |           137 |            562 |          72 |          237 |           137 |            341 |             354 |                     352 |                  137 |                   243 |                    251 |                 72 |                 169 |                  137 |                   222 |                    229 |                            230
  result_SELECT_10_Heisenberg2D_cylinder_1_0.5_0.in |         20012 |          20012 |       17760 |        17760 |         20012 |          20013 |           21295 |                   21295 |                20012 |                 20012 |                  20012 |              17760 |               17760 |                20012 |                 20013 |                  20406 |                          20406
  result_SELECT_10_Heisenberg2D_cylinder_1_0.5_1.in |         10024 |          10027 |        8880 |         8885 |         10024 |          10026 |           10837 |                   10835 |                10024 |                 10024 |                  10025 |               8880 |                8883 |                10024 |                 10025 |                  10660 |                          10660
  result_SELECT_10_Heisenberg2D_cylinder_1_0.5_2.in |          5033 |           5141 |        4440 |         4449 |          5033 |           5036 |            5685 |                    5685 |                 5033 |                  5033 |                   5037 |               4440 |                4445 |                 5033 |                  5036 |                   5555 |                           5559
