                                                   | Proj No Top (2 outer random) | Proj No Kink (2 outer random) | Proj Yes Kink (2 outer random) | Proj No Top (2 outer SA) | Proj No Kink (2 outer SA) | Proj Yes Kink (2 outer SA) | Proj No Top (2 outer naive) | Proj No Kink (2 outer naive) | Proj Yes Kink (2 outer naive)
             result_SELECT_4_DMFT1D_OBC_1.0_0_0.in |                          308 |                           311 |                            311 |                      308 |                       314 |                        314 |                         308 |                          309 |                           310
             result_SELECT_4_DMFT1D_OBC_1.0_0_1.in |                          172 |                           180 |                            177 |                      172 |                       174 |                        173 |                         172 |                          182 |                           177
             result_SELECT_4_DMFT1D_OBC_1.0_0_2.in |                          108 |                           113 |                            112 |                      108 |                       114 |                        115 |                         108 |                          122 |                           122
             result_SELECT_4_DMFT1D_OBC_1.0_0_3.in |                           54 |                            62 |                             63 |                       54 |                        68 |                         68 |                          54 |                           78 |                            82
             result_SELECT_4_DMFT1D_OBC_1.0_0_4.in |                           30 |                            49 |                             52 |                       30 |                        48 |                         48 |                          30 |                           84 |                            86
             result_SELECT_4_DMFT1D_OBC_3.0_0_0.in |                         1108 |                          1110 |                           1110 |                     1108 |                      1110 |                       1108 |                        1108 |                         1110 |                          1110
             result_SELECT_4_DMFT1D_OBC_3.0_0_1.in |                          648 |                           658 |                            659 |                      648 |                       656 |                        652 |                         648 |                          687 |                           686
             result_SELECT_4_DMFT1D_OBC_3.0_0_2.in |                          360 |                           370 |                            372 |                      360 |                       373 |                        370 |                         360 |                          418 |                           418
             result_SELECT_4_DMFT1D_OBC_3.0_0_3.in |                          194 |                           228 |                            226 |                      194 |                       223 |                        226 |                         194 |                          272 |                           272
             result_SELECT_4_DMFT1D_OBC_3.0_0_4.in |                          124 |                           157 |                            164 |                      124 |                       145 |                        146 |                         124 |                          204 |                           207
             result_SELECT_4_DMFT1D_OBC_3.0_0_5.in |                           88 |                           112 |                            112 |                       88 |                       112 |                        113 |                          88 |                          170 |                           175
             result_SELECT_4_DMFT1D_OBC_3.0_0_6.in |                           60 |                            91 |                             93 |                       63 |                        87 |                         88 |                          63 |                          187 |                           193
             result_SELECT_4_DMFT1D_OBC_5.0_0_0.in |                         2164 |                          2164 |                           2164 |                     2164 |                      2165 |                       2167 |                        2164 |                         2164 |                          2164
             result_SELECT_4_DMFT1D_OBC_5.0_0_1.in |                         1306 |                          1336 |                           1339 |                     1306 |                      1332 |                       1349 |                        1306 |                         1447 |                          1441
             result_SELECT_4_DMFT1D_OBC_5.0_0_2.in |                          724 |                           760 |                            766 |                      724 |                       763 |                        754 |                         724 |                          868 |                           864
             result_SELECT_4_DMFT1D_OBC_5.0_0_3.in |                          406 |                           455 |                            464 |                      406 |                       462 |                        468 |                         406 |                          547 |                           544
             result_SELECT_4_DMFT1D_OBC_5.0_0_4.in |                          270 |                           305 |                            311 |                      270 |                       305 |                        305 |                         270 |                          365 |                           369
             result_SELECT_4_DMFT1D_OBC_5.0_0_5.in |                          200 |                           223 |                            222 |                      200 |                       221 |                        223 |                         200 |                          255 |                           258
             result_SELECT_4_DMFT1D_OBC_5.0_0_6.in |                          100 |                           130 |                            131 |                      100 |                       125 |                        127 |                         100 |                          221 |                           223
             result_SELECT_4_DMFT2D_OBC_1.0_0_0.in |                         3360 |                          3362 |                           3367 |                     3360 |                      3362 |                       3361 |                        3360 |                         3362 |                          3361
             result_SELECT_4_DMFT2D_OBC_1.0_0_1.in |                         1832 |                          2553 |                           2567 |                     1832 |                      2578 |                       2579 |                        1832 |                         2609 |                          2606
             result_SELECT_4_DMFT2D_OBC_1.0_0_2.in |                         1276 |                          1440 |                           1444 |                     1276 |                      1534 |                       1535 |                        1276 |                         1520 |                          1517
             result_SELECT_4_DMFT2D_OBC_1.0_0_3.in |                          738 |                           853 |                            861 |                      738 |                       981 |                        990 |                         738 |                         1084 |                          1089
             result_SELECT_4_DMFT2D_OBC_1.0_0_4.in |                          420 |                           543 |                            546 |                      420 |                       716 |                        716 |                         420 |                          734 |                           741
             result_SELECT_4_DMFT2D_OBC_1.0_0_5.in |                          287 |                           333 |                            334 |                      287 |                       372 |                        382 |                         287 |                          445 |                           453
             result_SELECT_4_DMFT2D_OBC_1.0_0_6.in |                          180 |                           213 |                            214 |                      180 |                       261 |                        267 |                         180 |                          362 |                           364
             result_SELECT_4_DMFT2D_OBC_3.0_0_0.in |                        10016 |                         10017 |                          10017 |                    10016 |                     10016 |                      10016 |                       10016 |                        10017 |                         10017
             result_SELECT_4_DMFT2D_OBC_3.0_0_1.in |                         7868 |                          7913 |                           7904 |                     7868 |                      7964 |                       7956 |                        7868 |                         8005 |                          8006
             result_SELECT_4_DMFT2D_OBC_3.0_0_2.in |                         5708 |                          6596 |                           6615 |                     5708 |                      6653 |                       6661 |                        5708 |                         6693 |                          6697
             result_SELECT_4_DMFT2D_OBC_3.0_0_3.in |                         3914 |                          5117 |                           5128 |                     3914 |                      4840 |                       4870 |                        3914 |                         5183 |                          5186
             result_SELECT_4_DMFT2D_OBC_3.0_0_4.in |                         2080 |                          2984 |                           3065 |                     2080 |                      3471 |                       3480 |                        2080 |                         3532 |                          3524
             result_SELECT_4_DMFT2D_OBC_3.0_0_5.in |                         1188 |                          1766 |                           1792 |                     1188 |                      2158 |                       2170 |                        1188 |                         2244 |                          2257
             result_SELECT_4_DMFT2D_OBC_3.0_0_6.in |                          910 |                          1230 |                           1260 |                      910 |                      1452 |                       1462 |                         910 |                         1534 |                          1547
