                                                   | Proj No Top (1 outer random) | Proj No Kink (1 outer random) | Proj Yes Kink (1 outer random) | Proj No Top (1 outer SA) | Proj No Kink (1 outer SA) | Proj Yes Kink (1 outer SA) | Proj No Top (1 outer naive) | Proj No Kink (1 outer naive) | Proj Yes Kink (1 outer naive) | Proj No Top (2 outer random) | Proj No Kink (2 outer random) | Proj Yes Kink (2 outer random) | Proj No Top (2 outer SA) | Proj No Kink (2 outer SA) | Proj Yes Kink (2 outer SA) | Proj No Top (2 outer naive) | Proj No Kink (2 outer naive) | Proj Yes Kink (2 outer naive)
             result_SELECT_4_DMFT1D_OBC_1.0_0_0.in |                          308 |                           308 |                            308 |                      308 |                       312 |                        314 |                         308 |                          311 |                           309 |                          308 |                           308 |                            309 |                      308 |                       314 |                        314 |                         308 |                          309 |                           310
             result_SELECT_4_DMFT1D_OBC_1.0_0_1.in |                          172 |                           181 |                            181 |                      172 |                       178 |                        180 |                         172 |                          181 |                           183 |                          172 |                           178 |                            178 |                      172 |                       174 |                        173 |                         172 |                          182 |                           177
             result_SELECT_4_DMFT1D_OBC_1.0_0_2.in |                          108 |                           131 |                            128 |                      108 |                       117 |                        119 |                         108 |                          126 |                           128 |                          108 |                           114 |                            113 |                      108 |                       114 |                        115 |                         108 |                          122 |                           122
             result_SELECT_4_DMFT1D_OBC_1.0_0_3.in |                           54 |                            70 |                             72 |                       54 |                        69 |                         70 |                          54 |                           93 |                           101 |                           54 |                            75 |                             77 |                       54 |                        68 |                         68 |                          54 |                           78 |                            82
             result_SELECT_4_DMFT1D_OBC_1.0_0_4.in |                           36 |                            65 |                             67 |                       45 |                        60 |                         63 |                          45 |                          106 |                           111 |                           30 |                            52 |                             55 |                       30 |                        48 |                         48 |                          30 |                           84 |                            86
             result_SELECT_4_DMFT1D_OBC_3.0_0_0.in |                         1108 |                          1112 |                           1112 |                     1108 |                      1109 |                       1108 |                        1108 |                         1111 |                          1116 |                         1108 |                          1109 |                           1110 |                     1108 |                      1110 |                       1108 |                        1108 |                         1110 |                          1110
             result_SELECT_4_DMFT1D_OBC_3.0_0_1.in |                          648 |                           658 |                            660 |                      648 |                       656 |                        656 |                         648 |                          684 |                           688 |                          648 |                           651 |                            658 |                      648 |                       656 |                        652 |                         648 |                          687 |                           686
             result_SELECT_4_DMFT1D_OBC_3.0_0_2.in |                          360 |                           373 |                            375 |                      360 |                       373 |                        376 |                         360 |                          421 |                           425 |                          360 |                           376 |                            370 |                      360 |                       373 |                        370 |                         360 |                          418 |                           418
             result_SELECT_4_DMFT1D_OBC_3.0_0_3.in |                          194 |                           238 |                            238 |                      194 |                       242 |                        237 |                         194 |                          290 |                           292 |                          194 |                           212 |                            220 |                      194 |                       223 |                        226 |                         194 |                          272 |                           272
             result_SELECT_4_DMFT1D_OBC_3.0_0_4.in |                          124 |                           160 |                            164 |                      124 |                       153 |                        155 |                         124 |                          228 |                           236 |                          124 |                           153 |                            148 |                      124 |                       145 |                        146 |                         124 |                          204 |                           207
