                                                   | Single No MSF (1 outer random) | Single No Top (1 outer random) | Single No Kink (1 outer random) | Proj No MSF (1 outer random) | Proj No Top (1 outer random) | Proj No Kink (1 outer random) | Proj Yes Kink (1 outer random) | Double No MSF (1 outer random) | Double No Top (1 outer random) | Double No Kink (1 outer random) | Double Yes Kink (1 outer random) | Single No MSF (1 outer SA) | Single No Top (1 outer SA) | Single No Kink (1 outer SA) | Proj No MSF (1 outer SA) | Proj No Top (1 outer SA) | Proj No Kink (1 outer SA) | Proj Yes Kink (1 outer SA) | Double No MSF (1 outer SA) | Double No Top (1 outer SA) | Double No Kink (1 outer SA) | Double Yes Kink (1 outer SA) | Single No MSF (1 outer naive) | Single No Top (1 outer naive) | Single No Kink (1 outer naive) | Proj No MSF (1 outer naive) | Proj No Top (1 outer naive) | Proj No Kink (1 outer naive) | Proj Yes Kink (1 outer naive) | Double No MSF (1 outer naive) | Double No Top (1 outer naive) | Double No Kink (1 outer naive) | Double Yes Kink (1 outer naive) | Single No MSF (1 inner random) | Single No Top (1 inner random) | Single No Kink (1 inner random) | Proj No MSF (1 inner random) | Proj No Top (1 inner random) | Proj No Kink (1 inner random) | Proj Yes Kink (1 inner random) | Double No MSF (1 inner random) | Double No Top (1 inner random) | Double No Kink (1 inner random) | Double Yes Kink (1 inner random) | Single No MSF (1 inner SA) | Single No Top (1 inner SA) | Single No Kink (1 inner SA) | Proj No MSF (1 inner SA) | Proj No Top (1 inner SA) | Proj No Kink (1 inner SA) | Proj Yes Kink (1 inner SA) | Double No MSF (1 inner SA) | Double No Top (1 inner SA) | Double No Kink (1 inner SA) | Double Yes Kink (1 inner SA) | Single No MSF (1 inner naive) | Single No Top (1 inner naive) | Single No Kink (1 inner naive) | Proj No MSF (1 inner naive) | Proj No Top (1 inner naive) | Proj No Kink (1 inner naive) | Proj Yes Kink (1 inner naive) | Double No MSF (1 inner naive) | Double No Top (1 inner naive) | Double No Kink (1 inner naive) | Double Yes Kink (1 inner naive) | Single No MSF (2 outer random) | Single No Top (2 outer random) | Single No Kink (2 outer random) | Single Yes Kink (2 outer random) | Proj No MSF (2 outer random) | Proj No Top (2 outer random) | Proj No Kink (2 outer random) | Proj Yes Kink (2 outer random) | Double No MSF (2 outer random) | Double No Top (2 outer random) | Double No Kink (2 outer random) | Double Yes Kink (2 outer random) | Single No MSF (2 outer SA) | Single No Top (2 outer SA) | Single No Kink (2 outer SA) | Single Yes Kink (2 outer SA) | Proj No MSF (2 outer SA) | Proj No Top (2 outer SA) | Proj No Kink (2 outer SA) | Proj Yes Kink (2 outer SA) | Double No MSF (2 outer SA) | Double No Top (2 outer SA) | Double No Kink (2 outer SA) | Double Yes Kink (2 outer SA) | Single No MSF (2 outer naive) | Single No Top (2 outer naive) | Single No Kink (2 outer naive) | Single Yes Kink (2 outer naive) | Proj No MSF (2 outer naive) | Proj No Top (2 outer naive) | Proj No Kink (2 outer naive) | Proj Yes Kink (2 outer naive) | Double No MSF (2 outer naive) | Double No Top (2 outer naive) | Double No Kink (2 outer naive) | Double Yes Kink (2 outer naive) | Single No MSF (2 inner random) | Single No Top (2 inner random) | Single No Kink (2 inner random) | Single Yes Kink (2 inner random) | Proj No MSF (2 inner random) | Proj No Top (2 inner random) | Proj No Kink (2 inner random) | Proj Yes Kink (2 inner random) | Double No MSF (2 inner random) | Double No Top (2 inner random) | Double No Kink (2 inner random) | Double Yes Kink (2 inner random) | Single No MSF (2 inner SA) | Single No Top (2 inner SA) | Single No Kink (2 inner SA) | Single Yes Kink (2 inner SA) | Proj No MSF (2 inner SA) | Proj No Top (2 inner SA) | Proj No Kink (2 inner SA) | Proj Yes Kink (2 inner SA) | Double No MSF (2 inner SA) | Double No Top (2 inner SA) | Double No Kink (2 inner SA) | Double Yes Kink (2 inner SA) | Single No MSF (2 inner naive) | Single No Top (2 inner naive) | Single No Kink (2 inner naive) | Single Yes Kink (2 inner naive) | Proj No MSF (2 inner naive) | Proj No Top (2 inner naive) | Proj No Kink (2 inner naive) | Proj Yes Kink (2 inner naive) | Double No MSF (2 inner naive) | Double No Top (2 inner naive) | Double No Kink (2 inner naive) | Double Yes Kink (2 inner naive)
             result_SELECT_4_DMFT1D_OBC_1.0_0_0.in |                            381 |                            383 |                             383 |                          308 |                          308 |                           310 |                            310 |                            355 |                            356 |                             361 |                              369 |                        381 |                        383 |                         383 |                      308 |                      308 |                       311 |                        314 |                        355 |                        356 |                         417 |                          478 |                           381 |                           383 |                            383 |                         308 |                         308 |                          311 |                           309 |                           355 |                           356 |                            357 |                             358 |                            381 |                            383 |                             383 |                          308 |                          308 |                           308 |                            308 |                            355 |                            356 |                             356 |                              356 |                        381 |                        383 |                         383 |                      308 |                      308 |                       310 |                        311 |                        355 |                        356 |                         356 |                          357 |                           381 |                           383 |                            383 |                         308 |                         308 |                          311 |                           311 |                           355 |                           356 |                            356 |                             356 |                            381 |                            383 |                             383 |                              383 |                          308 |                          308 |                           310 |                            309 |                            355 |                            356 |                             361 |                              367 |                        381 |                        383 |                         383 |                          383 |                      308 |                      308 |                       308 |                        310 |                        355 |                        356 |                         363 |                          377 |                           381 |                           383 |                            383 |                             383 |                         308 |                         308 |                          309 |                           310 |                           355 |                           356 |                            357 |                             357 |                            381 |                            383 |                             383 |                              383 |                          308 |                          308 |                           308 |                            308 |                            355 |                            356 |                             356 |                              356 |                        381 |                        383 |                         383 |                          383 |                      308 |                      308 |                       312 |                        312 |                        355 |                        356 |                         356 |                          367 |                           381 |                           383 |                            383 |                             383 |                         308 |                         308 |                          308 |                           308 |                           355 |                           356 |                            356 |                             356
             result_SELECT_4_DMFT1D_OBC_1.0_0_1.in |                            220 |                            221 |                             221 |                          172 |                          172 |                           179 |                            181 |                            203 |                            204 |                             208 |                              214 |                        220 |                        221 |                         221 |                      172 |                      172 |                       176 |                        178 |                        203 |                        204 |                         212 |                          218 |                           220 |                           221 |                            222 |                         172 |                         172 |                          181 |                           183 |                           203 |                           204 |                            211 |                             218 |                            220 |                            221 |                             223 |                          172 |                          172 |                           179 |                            178 |                            203 |                            204 |                             205 |                              205 |                        220 |                        221 |                         221 |                      172 |                      172 |                       181 |                        180 |                        203 |                        204 |                         206 |                          206 |                           220 |                           221 |                            223 |                         172 |                         172 |                          184 |                           185 |                           203 |                           204 |                            206 |                             210 |                            220 |                            221 |                             221 |                              221 |                          172 |                          172 |                           174 |                            175 |                            203 |                            204 |                             204 |                              209 |                        220 |                        221 |                         221 |                          221 |                      172 |                      172 |                       174 |                        175 |                        203 |                        204 |                         204 |                          211 |                           220 |                           221 |                            221 |                             221 |                         172 |                         172 |                          182 |                           177 |                           203 |                           204 |                            205 |                             207 |                            220 |                            221 |                             221 |                              221 |                          172 |                          172 |                           172 |                            173 |                            203 |                            204 |                             209 |                              210 |                        220 |                        221 |                         221 |                          221 |                      172 |                      172 |                       173 |                        174 |                        203 |                        204 |                         205 |                          206 |                           220 |                           221 |                            221 |                             222 |                         172 |                         172 |                          176 |                           175 |                           203 |                           204 |                            210 |                             213
             result_SELECT_4_DMFT1D_OBC_1.0_0_2.in |                            139 |                            139 |                             139 |                          108 |                          108 |                           122 |                            126 |                            128 |                            130 |                             138 |                              140 |                        139 |                        139 |                         139 |                      108 |                      108 |                       117 |                        120 |                        128 |                        130 |                         137 |                          137 |                           139 |                           139 |                            144 |                         108 |                         108 |                          126 |                           128 |                           128 |                           130 |                            139 |                             139 |                            139 |                            139 |                             139 |                          108 |                          108 |                           117 |                            119 |                            128 |                            130 |                             153 |                              145 |                        139 |                        139 |                         139 |                      108 |                      108 |                       114 |                        115 |                        128 |                        130 |                         132 |                          133 |                           139 |                           139 |                            142 |                         108 |                         108 |                          125 |                           127 |                           128 |                           130 |                            140 |                             136 |                            139 |                            139 |                             139 |                              139 |                          108 |                          108 |                           118 |                            118 |                            128 |                            129 |                             134 |                              136 |                        139 |                        139 |                         139 |                          139 |                      108 |                      108 |                       114 |                        114 |                        128 |                        129 |                         132 |                          133 |                           139 |                           139 |                            140 |                             140 |                         108 |                         108 |                          122 |                           122 |                           128 |                           129 |                            135 |                             135 |                            139 |                            139 |                             139 |                              139 |                          108 |                          108 |                           114 |                            113 |                            128 |                            129 |                             129 |                              131 |                        139 |                        139 |                         139 |                          139 |                      108 |                      108 |                       112 |                        111 |                        128 |                        129 |                         129 |                          132 |                           139 |                           139 |                            140 |                             139 |                         108 |                         108 |                          119 |                           120 |                           128 |                           129 |                            131 |                             132
             result_SELECT_4_DMFT1D_OBC_1.0_0_3.in |                             85 |                             85 |                             104 |                           54 |                           54 |                            73 |                             74 |                             76 |                             77 |                              90 |                               90 |                         85 |                         85 |                          85 |                       54 |                       54 |                        68 |                         69 |                         76 |                         77 |                          85 |                           85 |                            85 |                            85 |                            110 |                          54 |                          54 |                           93 |                           101 |                            76 |                            77 |                             98 |                             102 |                             85 |                             85 |                              88 |                           54 |                           54 |                            72 |                             71 |                             76 |                             77 |                              80 |                               82 |                         85 |                         85 |                          86 |                       54 |                       54 |                        68 |                         68 |                         76 |                         77 |                          84 |                           84 |                            85 |                            85 |                            105 |                          54 |                          54 |                           94 |                            95 |                            76 |                            77 |                             94 |                             100 |                             85 |                             85 |                              85 |                               86 |                           54 |                           54 |                            67 |                             67 |                             76 |                             77 |                              85 |                               86 |                         85 |                         85 |                          85 |                           86 |                       54 |                       54 |                        64 |                         65 |                         76 |                         77 |                          85 |                           88 |                            85 |                            85 |                             89 |                              91 |                          54 |                          54 |                           78 |                            82 |                            76 |                            77 |                             86 |                              85 |                             85 |                             85 |                              86 |                               85 |                           54 |                           54 |                            68 |                             65 |                             76 |                             76 |                              80 |                               80 |                         85 |                         85 |                          85 |                           85 |                       54 |                       54 |                        60 |                         65 |                         76 |                         76 |                          80 |                           81 |                            85 |                            85 |                             86 |                              87 |                          54 |                          54 |                           63 |                            62 |                            76 |                            76 |                             80 |                              86
             result_SELECT_4_DMFT1D_OBC_1.0_0_4.in |                             74 |                             79 |                             109 |                           30 |                           45 |                            70 |                             71 |                             59 |                             63 |                              96 |                               95 |                         74 |                         79 |                          85 |                       30 |                       45 |                        57 |                         60 |                         59 |                         63 |                          87 |                           88 |                            74 |                            79 |                            132 |                          30 |                          45 |                          106 |                           111 |                            59 |                            63 |                            116 |                             115 |                             74 |                             75 |                              98 |                           30 |                           36 |                            66 |                             70 |                             59 |                             59 |                              80 |                               85 |                         74 |                         75 |                          79 |                       30 |                       36 |                        60 |                         63 |                         59 |                         59 |                          71 |                           76 |                            74 |                            75 |                            107 |                          30 |                          36 |                           91 |                            90 |                            59 |                            59 |                             95 |                              96 |                             74 |                             74 |                              84 |                               85 |                           30 |                           30 |                            55 |                             57 |                             59 |                             59 |                              79 |                               85 |                         74 |                         74 |                          76 |                           78 |                       30 |                       30 |                        46 |                         49 |                         59 |                         59 |                          77 |                           74 |                            74 |                            74 |                             95 |                              96 |                          30 |                          30 |                           84 |                            86 |                            59 |                            59 |                            100 |                             103 |                             74 |                             74 |                              77 |                               79 |                           30 |                           30 |                            47 |                             50 |                             59 |                             59 |                              71 |                               81 |                         74 |                         74 |                          74 |                           75 |                       30 |                       30 |                        45 |                         45 |                         59 |                         59 |                          71 |                           79 |                            74 |                            74 |                             93 |                              94 |                          30 |                          30 |                           61 |                            64 |                            59 |                            59 |                             85 |                              85
             result_SELECT_4_DMFT1D_OBC_3.0_0_0.in |                           1275 |                           1277 |                            1277 |                         1108 |                         1108 |                          1113 |                           1113 |                           1209 |                           1210 |                            1250 |                             1287 |                       1275 |                       1277 |                        1277 |                     1108 |                     1108 |                      1111 |                       1110 |                       1209 |                       1210 |                        1243 |                         1310 |                          1275 |                          1277 |                           1277 |                        1108 |                        1108 |                         1111 |                          1116 |                          1209 |                          1210 |                           1211 |                            1211 |                           1275 |                           1277 |                            1277 |                         1108 |                         1108 |                          1108 |                           1108 |                           1209 |                           1210 |                            1210 |                             1210 |                       1275 |                       1277 |                        1277 |                     1108 |                     1108 |                      1114 |                       1119 |                       1209 |                       1210 |                        1210 |                         1212 |                          1275 |                          1277 |                           1277 |                        1108 |                        1108 |                         1111 |                          1113 |                          1209 |                          1210 |                           1210 |                            1210 |                           1275 |                           1277 |                            1277 |                             1277 |                         1108 |                         1108 |                          1110 |                           1110 |                           1209 |                           1210 |                            1226 |                             1254 |                       1275 |                       1277 |                        1277 |                         1277 |                     1108 |                     1108 |                      1109 |                       1109 |                       1209 |                       1210 |                        1211 |                         1211 |                          1275 |                          1277 |                           1277 |                            1277 |                        1108 |                        1108 |                         1110 |                          1110 |                          1209 |                          1210 |                           1211 |                            1212 |                           1275 |                           1277 |                            1277 |                             1277 |                         1108 |                         1108 |                          1108 |                           1108 |                           1209 |                           1210 |                            1210 |                             1210 |                       1275 |                       1277 |                        1277 |                         1277 |                     1108 |                     1108 |                      1110 |                       1109 |                       1209 |                       1210 |                        1210 |                         1216 |                          1275 |                          1277 |                           1277 |                            1277 |                        1108 |                        1108 |                         1108 |                          1109 |                          1209 |                          1210 |                           1210 |                            1210
             result_SELECT_4_DMFT1D_OBC_3.0_0_1.in |                            752 |                            753 |                             753 |                          648 |                          648 |                           649 |                            652 |                            717 |                            718 |                             718 |                              728 |                        752 |                        753 |                         753 |                      648 |                      648 |                       659 |                        660 |                        717 |                        718 |                         720 |                          746 |                           752 |                           753 |                            754 |                         648 |                         648 |                          684 |                           688 |                           717 |                           718 |                            723 |                             725 |                            752 |                            753 |                             754 |                          648 |                          648 |                           649 |                            650 |                            717 |                            718 |                             718 |                              718 |                        752 |                        753 |                         753 |                      648 |                      648 |                       659 |                        662 |                        717 |                        718 |                         742 |                          769 |                           752 |                           753 |                            753 |                         648 |                         648 |                          682 |                           687 |                           717 |                           718 |                            800 |                             797 |                            752 |                            753 |                             753 |                              753 |                          648 |                          648 |                           653 |                            653 |                            717 |                            718 |                             724 |                              728 |                        752 |                        753 |                         753 |                          753 |                      648 |                      648 |                       653 |                        656 |                        717 |                        718 |                         718 |                          719 |                           752 |                           753 |                            753 |                             753 |                         648 |                         648 |                          687 |                           686 |                           717 |                           718 |                            719 |                             719 |                            752 |                            753 |                             753 |                              753 |                          648 |                          648 |                           652 |                            653 |                            717 |                            718 |                             773 |                              769 |                        752 |                        753 |                         753 |                          753 |                      648 |                      648 |                       655 |                        655 |                        717 |                        718 |                         718 |                          730 |                           752 |                           753 |                            753 |                             753 |                         648 |                         648 |                          672 |                           672 |                           717 |                           718 |                            722 |                             725
             result_SELECT_4_DMFT1D_OBC_3.0_0_2.in |                            439 |                            439 |                             443 |                          360 |                          360 |                           377 |                            379 |                            417 |                            419 |                             429 |                              433 |                        439 |                        439 |                         439 |                      360 |                      360 |                       376 |                        377 |                        417 |                        419 |                         428 |                          439 |                           439 |                           439 |                            452 |                         360 |                         360 |                          421 |                           425 |                           417 |                           419 |                            438 |                             443 |                            439 |                            439 |                             442 |                          360 |                          360 |                           368 |                            368 |                            417 |                            418 |                             430 |                              437 |                        439 |                        439 |                         439 |                      360 |                      360 |                       394 |                        399 |                        417 |                        418 |                         420 |                          422 |                           439 |                           439 |                            450 |                         360 |                         360 |                          421 |                           426 |                           417 |                           418 |                            447 |                             450 |                            439 |                            439 |                             439 |                              439 |                          360 |                          360 |                           367 |                            374 |                            417 |                            418 |                             422 |                              424 |                        439 |                        439 |                         439 |                          439 |                      360 |                      360 |                       373 |                        374 |                        417 |                        418 |                         424 |                          426 |                           439 |                           439 |                            439 |                             440 |                         360 |                         360 |                          418 |                           418 |                           417 |                           418 |                            422 |                             423 |                            439 |                            439 |                             439 |                              440 |                          360 |                          360 |                           365 |                            365 |                            417 |                            418 |                             421 |                              421 |                        439 |                        439 |                         439 |                          439 |                      360 |                      360 |                       376 |                        379 |                        417 |                        418 |                         424 |                          433 |                           439 |                           439 |                            441 |                             440 |                         360 |                         360 |                          384 |                           392 |                           417 |                           418 |                            424 |                             423
             result_SELECT_4_DMFT1D_OBC_3.0_0_3.in |                            282 |                            282 |                             286 |                          194 |                          194 |                           236 |                            235 |                            269 |                            269 |                             280 |                              285 |                        282 |                        282 |                         282 |                      194 |                      194 |                       243 |                        260 |                        269 |                        269 |                         279 |                          281 |                           282 |                           282 |                            328 |                         194 |                         194 |                          290 |                           292 |                           269 |                           269 |                            297 |                             303 |                            282 |                            282 |                             286 |                          194 |                          194 |                           254 |                            258 |                            269 |                            269 |                             276 |                              278 |                        282 |                        282 |                         282 |                      194 |                      194 |                       237 |                        239 |                        269 |                        269 |                         273 |                          275 |                           282 |                           282 |                            312 |                         194 |                         194 |                          285 |                           287 |                           269 |                           269 |                            297 |                             304 |                            282 |                            282 |                             282 |                              282 |                          194 |                          194 |                           230 |                            231 |                            269 |                            269 |                             280 |                              281 |                        282 |                        282 |                         282 |                          282 |                      194 |                      194 |                       227 |                        233 |                        269 |                        269 |                         278 |                          279 |                           282 |                           282 |                            288 |                             287 |                         194 |                         194 |                          272 |                           272 |                           269 |                           269 |                            278 |                             279 |                            282 |                            282 |                             282 |                              282 |                          194 |                          194 |                           221 |                            221 |                            269 |                            269 |                             273 |                              275 |                        282 |                        282 |                         282 |                          282 |                      194 |                      194 |                       222 |                        232 |                        269 |                        269 |                         269 |                          275 |                           282 |                           282 |                            284 |                             282 |                         194 |                         194 |                          253 |                           254 |                           269 |                           269 |                            277 |                             276
             result_SELECT_4_DMFT1D_OBC_3.0_0_4.in |                            181 |                            182 |                             228 |                          124 |                          124 |                           163 |                            167 |                            166 |                            166 |                             194 |                              192 |                        181 |                        182 |                         185 |                      124 |                      124 |                       151 |                        155 |                        166 |                        166 |                         186 |                          185 |                           181 |                           182 |                            226 |                         124 |                         124 |                          228 |                           236 |                           166 |                           166 |                            208 |                             215 |                            181 |                            182 |                             193 |                          124 |                          124 |                           164 |                            160 |                            166 |                            166 |                             178 |                              181 |                        181 |                        182 |                         183 |                      124 |                      124 |                       152 |                        156 |                        166 |                        166 |                         175 |                          178 |                           181 |                           182 |                            217 |                         124 |                         124 |                          232 |                           239 |                           166 |                           166 |                            194 |                             197 |                            181 |                            181 |                             184 |                              185 |                          124 |                          124 |                           151 |                            152 |                            166 |                            166 |                             181 |                              181 |                        181 |                        181 |                         181 |                          181 |                      124 |                      124 |                       141 |                        144 |                        166 |                        166 |                         172 |                          181 |                           181 |                           181 |                            203 |                             202 |                         124 |                         124 |                          204 |                           207 |                           166 |                           166 |                            196 |                             200 |                            181 |                            181 |                             182 |                              183 |                          124 |                          124 |                           140 |                            142 |                            166 |                            166 |                             178 |                              179 |                        181 |                        181 |                         181 |                          181 |                      124 |                      124 |                       135 |                        138 |                        166 |                        166 |                         169 |                          172 |                           181 |                           181 |                            190 |                             186 |                         124 |                         124 |                          165 |                           170 |                           166 |                           166 |                            180 |                             183
