                                                    | Single No MSF (1 outer SA) | Single No Top (1 outer SA) | Single No Kink (1 outer SA) | Proj No MSF (1 outer SA) | Proj No Top (1 outer SA) | Proj No Kink (1 outer SA) | Proj Yes Kink (1 outer SA) | Double No MSF (1 outer SA) | Double No Top (1 outer SA) | Double No Kink (1 outer SA) | Double Yes Kink (1 outer SA) | Single No MSF (1 inner SA) | Single No Top (1 inner SA) | Single No Kink (1 inner SA) | Proj No MSF (1 inner SA) | Proj No Top (1 inner SA) | Proj No Kink (1 inner SA) | Proj Yes Kink (1 inner SA) | Double No MSF (1 inner SA) | Double No Top (1 inner SA) | Double No Kink (1 inner SA) | Double Yes Kink (1 inner SA) | Single No MSF (2 outer SA) | Single No Top (2 outer SA) | Single No Kink (2 outer SA) | Single Yes Kink (2 outer SA) | Proj No MSF (2 outer SA) | Proj No Top (2 outer SA) | Proj No Kink (2 outer SA) | Proj Yes Kink (2 outer SA) | Double No MSF (2 outer SA) | Double No Top (2 outer SA) | Double No Kink (2 outer SA) | Double Yes Kink (2 outer SA) | Single No MSF (2 inner SA) | Single No Top (2 inner SA) | Single No Kink (2 inner SA) | Single Yes Kink (2 inner SA) | Proj No MSF (2 inner SA) | Proj No Top (2 inner SA) | Proj No Kink (2 inner SA) | Proj Yes Kink (2 inner SA) | Double No MSF (2 inner SA) | Double No Top (2 inner SA) | Double No Kink (2 inner SA) | Double Yes Kink (2 inner SA)
        result_SELECT_100_Heisenberg1D_OBC_1_0_0.in |                       8662 |                       8664 |                        8664 |                     7128 |                     7128 |                      7128 |                       7128 |                       8061 |                       8062 |                        8063 |                         8063 |                       8662 |                       8664 |                        8664 |                     7128 |                     7128 |                      7132 |                       7132 |                       8061 |                       8062 |                        8063 |                         8063 |                       8662 |                       8664 |                        8664 |                         8664 |                     7128 |                     7128 |                      7128 |                       7128 |                       8061 |                       8062 |                        8063 |                         8063 |                       8662 |                       8664 |                        8664 |                         8664 |                     7128 |                     7128 |                      7129 |                       7129 |                       8061 |                       8062 |                        8062 |                         8063
        result_SELECT_100_Heisenberg1D_OBC_1_0_1.in |                       4359 |                       4360 |                        4360 |                     3564 |                     3564 |                      3568 |                       3568 |                       4053 |                       4054 |                        4055 |                         4055 |                       4359 |                       4360 |                        4360 |                     3564 |                     3564 |                      3566 |                       3568 |                       4053 |                       4054 |                        4054 |                         4056 |                       4359 |                       4360 |                        4360 |                         4360 |                     3564 |                     3564 |                      3566 |                       3566 |                       4053 |                       4054 |                        4054 |                         4055 |                       4359 |                       4360 |                        4360 |                         4360 |                     3564 |                     3564 |                      3567 |                       3568 |                       4053 |                       4054 |                        4054 |                         4056
        result_SELECT_100_Heisenberg1D_OBC_1_0_2.in |                       2212 |                       2212 |                        2212 |                     1785 |                     1785 |                      1792 |                       1791 |                       2053 |                       2053 |                        2057 |                         2058 |                       2212 |                       2212 |                        2212 |                     1785 |                     1785 |                      1795 |                       1796 |                       2053 |                       2053 |                        2056 |                         2057 |                       2212 |                       2212 |                        2212 |                         2212 |                     1785 |                     1785 |                      1791 |                       1791 |                       2053 |                       2053 |                        2057 |                         2059 |                       2212 |                       2212 |                        2212 |                         2212 |                     1785 |                     1785 |                      1790 |                       1791 |                       2053 |                       2053 |                        2055 |                         2070
        result_SELECT_100_Heisenberg1D_OBC_1_0_3.in |                       1142 |                       1142 |                        1143 |                      897 |                      897 |                       909 |                        909 |                       1056 |                       1056 |                        1062 |                         1064 |                       1142 |                       1142 |                        1144 |                      897 |                      897 |                       909 |                        910 |                       1056 |                       1056 |                        1059 |                         1059 |                       1142 |                       1142 |                        1142 |                         1142 |                      897 |                      897 |                       907 |                        910 |                       1056 |                       1056 |                        1064 |                         1076 |                       1142 |                       1142 |                        1142 |                         1142 |                      897 |                      897 |                       904 |                        906 |                       1056 |                       1056 |                        1060 |                         1098
        result_SELECT_100_Heisenberg1D_OBC_1_0_4.in |                        606 |                        606 |                         609 |                      453 |                      453 |                       469 |                        472 |                        557 |                        557 |                         581 |                          573 |                        606 |                        606 |                         608 |                      453 |                      453 |                       471 |                        473 |                        557 |                        557 |                         562 |                          572 |                        606 |                        606 |                         607 |                          608 |                      453 |                      453 |                       468 |                        469 |                        557 |                        557 |                         572 |                          592 |                        606 |                        606 |                         607 |                          607 |                      453 |                      453 |                       466 |                        467 |                        557 |                        557 |                         631 |                          666
        result_SELECT_100_Heisenberg1D_OBC_1_0_5.in |                        340 |                        341 |                         351 |                      228 |                      228 |                       259 |                        264 |                        309 |                        310 |                         324 |                          338 |                        340 |                        341 |                         348 |                      228 |                      228 |                       259 |                        260 |                        309 |                        310 |                         328 |                          335 |                        340 |                        341 |                         344 |                          345 |                      228 |                      228 |                       251 |                        254 |                        309 |                        310 |                         334 |                          345 |                        340 |                        341 |                         342 |                          342 |                      228 |                      228 |                       247 |                        248 |                        309 |                        310 |                         323 |                          336
        result_SELECT_100_Heisenberg1D_OBC_1_0_6.in |                        206 |                        211 |                         237 |                      117 |                      123 |                       169 |                        175 |                        185 |                        185 |                         225 |                          240 |                        206 |                        211 |                         226 |                      117 |                      123 |                       167 |                        172 |                        185 |                        185 |                         213 |                          214 |                        206 |                        211 |                         217 |                          216 |                      117 |                      123 |                       161 |                        164 |                        185 |                        185 |                         210 |                          217 |                        206 |                        211 |                         213 |                          214 |                      117 |                      123 |                       153 |                        154 |                        185 |                        185 |                         200 |                          205
           result_SELECT_100_Schwinger_OBC_0_0_0.in |                      37309 |                      37311 |                       37311 |                    30789 |                    30789 |                     30789 |                      30789 |                      34726 |                      34727 |                       34728 |                        34728 |                      37309 |                      37311 |                       37311 |                    30789 |                    30789 |                     30794 |                      30794 |                      34726 |                      34727 |                       34728 |                        34728 |                      37309 |                      37311 |                       37311 |                        37311 |                    30789 |                    30789 |                     30789 |                      30791 |                      34726 |                      34727 |                       34728 |                        34728 |                      37309 |                      37311 |                       37311 |                        37311 |                    30789 |                    30789 |                     30791 |                      30791 |                      34726 |                      34727 |                       34727 |                        34727
           result_SELECT_100_Schwinger_OBC_0_0_1.in |                      18708 |                      18709 |                       18709 |                    15416 |                    15416 |                     15417 |                      15416 |                      17407 |                      17408 |                       17408 |                        17408 |                      18708 |                      18709 |                       18714 |                    15416 |                    15416 |                     15423 |                      15423 |                      17407 |                      17408 |                       17408 |                        17409 |                      18708 |                      18709 |                       18709 |                        18709 |                    15416 |                    15416 |                     15419 |                      15418 |                      17407 |                      17408 |                       17408 |                        17408 |                      18708 |                      18709 |                       18709 |                        18709 |                    15416 |                    15416 |                     15419 |                      15421 |                      17407 |                      17408 |                       17411 |                        17705
           result_SELECT_100_Schwinger_OBC_0_0_2.in |                       9403 |                       9403 |                        9416 |                     7713 |                     7713 |                      7718 |                       7719 |                       8734 |                       8735 |                        8739 |                         8744 |                       9403 |                       9403 |                        9411 |                     7713 |                     7713 |                      7721 |                       7725 |                       8734 |                       8735 |                        8739 |                         8754 |                       9403 |                       9403 |                        9404 |                         9403 |                     7713 |                     7713 |                      7720 |                       7721 |                       8734 |                       8735 |                        8738 |                         8739 |                       9403 |                       9403 |                        9404 |                         9404 |                     7713 |                     7713 |                      7718 |                       7720 |                       8734 |                       8735 |                        8740 |                         8756
