                                                    | Single No Kink (1 outer SA) | Proj Yes Kink (1 outer SA) | Double Yes Kink (1 outer SA) | Single No Kink (1 inner SA) | Proj Yes Kink (1 inner SA) | Double Yes Kink (1 inner SA) | Single Yes Kink (2 outer SA) | Proj Yes Kink (2 outer SA) | Double Yes Kink (2 outer SA) | Single Yes Kink (2 inner SA) | Proj Yes Kink (2 inner SA) | Double Yes Kink (2 inner SA)
        result_SELECT_100_Heisenberg1D_OBC_1_0_0.in |                      336126 |                    3177456 |                       336655 |                      352366 |                    3126083 |                       353059 |                       314952 |                    2985120 |                       281239 |                       317124 |                    3072240 |                       273691
        result_SELECT_100_Heisenberg1D_OBC_1_0_1.in |                      303774 |                    2103531 |                       304738 |                      318169 |                    1849369 |                       319880 |                       313257 |                    2196466 |                       298146 |                       308817 |                    1842514 |                       269734
        result_SELECT_100_Heisenberg1D_OBC_1_0_2.in |                      266130 |                    1386753 |                       292568 |                      295958 |                    1287287 |                       296750 |                       293996 |                    1353349 |                       260260 |                       270788 |                    1162461 |                       269720
        result_SELECT_100_Heisenberg1D_OBC_1_0_3.in |                      290027 |                    1080496 |                       290292 |                      248256 |                    1017019 |                       260635 |                       283778 |                    1070407 |                       253181 |                       259312 |                     989803 |                       254918
        result_SELECT_100_Heisenberg1D_OBC_1_0_4.in |                      288054 |                     880789 |                       299850 |                      274567 |                     873187 |                       265332 |                       298396 |                     921492 |                       284948 |                       262183 |                     872168 |                       258680
        result_SELECT_100_Heisenberg1D_OBC_1_0_5.in |                      346329 |                     744107 |                       344098 |                      334667 |                     720206 |                       302382 |                       339218 |                     799336 |                       322350 |                       281008 |                     733956 |                       291091
        result_SELECT_100_Heisenberg1D_OBC_1_0_6.in |                      483902 |                     812455 |                       511760 |                      401153 |                     781914 |                       459508 |                       449227 |                     812545 |                       458834 |                       373931 |                     742877 |                       366171
           result_SELECT_100_Schwinger_OBC_0_0_0.in |                     3796591 |                   11699745 |                      3625181 |                     3840666 |                   11200751 |                      3521242 |                      3778795 |                   11227163 |                      3536988 |                      3776816 |                   10546228 |                      3492814
           result_SELECT_100_Schwinger_OBC_0_0_1.in |                     2726653 |                    7389948 |                      2731915 |                     2854637 |                    7379213 |                      2633782 |                      2838604 |                    7093322 |                      2636137 |                      2793217 |                    7010393 |                      2617899
           result_SELECT_100_Schwinger_OBC_0_0_2.in |                     2042658 |                    5208539 |                      1977168 |                     2034230 |                    5325448 |                      1915475 |                      2023672 |                    6224154 |                      1896088 |                      1979961 |                    5446330 |                      1884034
           result_SELECT_100_Schwinger_OBC_0_0_3.in |                     1523439 |                    4452614 |                      1572048 |                     1591886 |                    4309102 |                      1490302 |                      1586305 |                    4764903 |                      1495240 |                      1505221 |                    4444609 |                      1454711
           result_SELECT_100_Schwinger_OBC_0_0_4.in |                     1514586 |                    3824440 |                      1475634 |                     1295831 |                    3625354 |                      1292668 |                      1446452 |                    3783509 |                      1318602 |                      1324827 |                    3603579 |                      1307989
           result_SELECT_100_Schwinger_OBC_0_0_5.in |                     1737444 |                    4360243 |                      1710969 |                     1466199 |                    4472748 |                      1453545 |                      1442431 |                    3705736 |                      1443952 |                      1244611 |                    3441261 |                      1343200
           result_SELECT_100_Schwinger_OBC_0_0_6.in |                     2360124 |                    5892505 |                      2370183 |                     1947987 |                    5955583 |                      2241293 |                      1823002 |                    4475758 |                      1805377 |                      1512757 |                    4379612 |                      1633049
  result_SELECT_10_FermiHubbard2D_cylinder_0_0_0.in |                     2960583 |                    9251337 |                      2928217 |                     2975054 |                    8786053 |                      2911801 |                      2932850 |                    8795850 |                      2879249 |                      2936162 |                    8217341 |                      2887831
  result_SELECT_10_FermiHubbard2D_cylinder_0_0_1.in |                     2035641 |                    6216679 |                      2047815 |                     2059792 |                    6231616 |                      2022372 |                      2023993 |                    5853972 |                      1996479 |                      2024200 |                    6038802 |                      1996245
  result_SELECT_10_FermiHubbard2D_cylinder_0_0_2.in |                     1364090 |                    4476678 |                      1372180 |                     1370323 |                    4638540 |                      1390072 |                      1330020 |                    4551768 |                      1315185 |                      1330750 |                    4343294 |                      1296245
